probe,scene,N,q_light,ho_psnr,ho_mae
A,00f7c6d95b7d4c359681cc3b93f8a077,1,2,20.55987595218445,0.0809226706624031
A,00f7c6d95b7d4c359681cc3b93f8a077,2,2,20.55987503194259,0.08092273026704788
A,00f7c6d95b7d4c359681cc3b93f8a077,3,2,20.559868590255,0.08092280477285385
A,00ff6c772dce4e84bf66544ada6093a0,1,2,9.645472241532664,0.2926237881183624
A,00ff6c772dce4e84bf66544ada6093a0,2,2,9.645473732581031,0.2926237881183624
A,00ff6c772dce4e84bf66544ada6093a0,3,2,9.645469259437466,0.2926238477230072
A,0104f4b9bd3c476d949785e03f2ff7c6,1,2,20.22748147062227,0.0837923213839531
A,0104f4b9bd3c476d949785e03f2ff7c6,2,2,20.227481044403504,0.08379218727350235
A,0104f4b9bd3c476d949785e03f2ff7c6,3,2,20.22747933952886,0.0837923064827919
A,0109cde49c664b408e6a95a82d235070,1,2,14.38789983471594,0.13829900324344635
A,0109cde49c664b408e6a95a82d235070,2,2,14.387897168560087,0.13829894363880157
A,0109cde49c664b408e6a95a82d235070,3,2,14.387894502405867,0.1382990926504135
A,01f2d9c189f5404c97f696d022b0ad81,1,2,16.9056828960738,0.1259188950061798
A,01f2d9c189f5404c97f696d022b0ad81,2,2,16.9056828960738,0.1259188950061798
A,01f2d9c189f5404c97f696d022b0ad81,3,2,16.9056828960738,0.1259188950061798
A,024bfdbc8f1c4a75bdbaaecb905e04e8,1,2,19.42000837975279,0.09517841041088104
A,024bfdbc8f1c4a75bdbaaecb905e04e8,2,2,19.420011210984462,0.09517845511436462
A,024bfdbc8f1c4a75bdbaaecb905e04e8,3,2,19.42000767194516,0.09517846256494522
A,027e8e8787bf40689bdd8e795636a106,1,2,16.569427701672886,0.11046453565359116
A,027e8e8787bf40689bdd8e795636a106,2,2,16.569433576261833,0.11046436429023743
A,027e8e8787bf40689bdd8e795636a106,3,2,16.569435779234734,0.11046436429023743
A,02c1619333c74000886bee7b9667e1d6,1,2,12.98910095292098,0.18617209792137146
A,02c1619333c74000886bee7b9667e1d6,2,2,12.989100308923021,0.18617209792137146
A,02c1619333c74000886bee7b9667e1d6,3,2,12.989103206914592,0.18617203831672668
A,02fc000a981e416386d8cc51c858de5b,1,2,16.142988335897527,0.11377125978469849
A,02fc000a981e416386d8cc51c858de5b,2,2,16.14298234508849,0.1137714609503746
A,02fc000a981e416386d8cc51c858de5b,3,2,16.14299865342135,0.11377115547657013
A,03ba54375bcb45d1a92a5dcb9e8e3a59,1,2,13.374709809164738,0.18170465528964996
A,03ba54375bcb45d1a92a5dcb9e8e3a59,2,2,13.374711920546519,0.18170461058616638
A,03ba54375bcb45d1a92a5dcb9e8e3a59,3,2,13.374712976237792,0.181704580783844
A,0437089225fb4b8496c6c4a824d370e6,1,2,20.59119400727923,0.06547258794307709
A,0437089225fb4b8496c6c4a824d370e6,2,2,20.591234791160467,0.0654723197221756
A,0437089225fb4b8496c6c4a824d370e6,3,2,20.591239889172552,0.06547235697507858
A,048002dcad254cf8b57d51d84ad84435,1,2,17.817337126819087,0.10862139612436295
A,048002dcad254cf8b57d51d84ad84435,2,2,17.817337126819087,0.10862139612436295
A,048002dcad254cf8b57d51d84ad84435,3,2,17.817336148054842,0.10862140357494354
A,04dbe2471a134bd68f5b8d8d4af95aae,1,2,11.442586003815151,0.26135167479515076
A,04dbe2471a134bd68f5b8d8d4af95aae,2,2,11.442586454873837,0.26135167479515076
A,04dbe2471a134bd68f5b8d8d4af95aae,3,2,11.442586905932572,0.26135167479515076
A,04e43ff1195e45029a03b6cdc53f9aa8,1,2,15.20641749657927,0.16763126850128174
A,04e43ff1195e45029a03b6cdc53f9aa8,2,2,15.206420983962808,0.16763120889663696
A,04e43ff1195e45029a03b6cdc53f9aa8,3,2,15.206425544391664,0.1676310896873474
A,04e5ee9a0baa446e9ab973cce0153bc8,1,2,15.576992636496808,0.15433268249034882
A,04e5ee9a0baa446e9ab973cce0153bc8,2,2,15.576991760031136,0.15433268249034882
A,04e5ee9a0baa446e9ab973cce0153bc8,3,2,15.57699146787595,0.15433269739151
A,05703932eb2c45c0918d4f91c875d064,1,2,19.091801573203156,0.09960705041885376
A,05703932eb2c45c0918d4f91c875d064,2,2,19.09181929302065,0.09960684180259705
A,05703932eb2c45c0918d4f91c875d064,3,2,19.091810761247647,0.09960687160491943
A,060c9e87a01b4fd08f87578d63e4961e,1,2,7.580061587016685,0.41438159346580505
A,060c9e87a01b4fd08f87578d63e4961e,2,2,7.580061957706454,0.4143815338611603
A,060c9e87a01b4fd08f87578d63e4961e,3,2,7.580062328396257,0.4143815338611603
A,062ad5b97bf34d75b7c7003b9b6f2cb0,1,2,15.687195530278366,0.12863175570964813
A,062ad5b97bf34d75b7c7003b9b6f2cb0,2,2,15.68719493095121,0.12863178551197052
A,062ad5b97bf34d75b7c7003b9b6f2cb0,3,2,15.68719373229715,0.1286318004131317
A,069044476a7f49b9b83f6364654c85c3,1,2,18.725732990824746,0.10333392769098282
A,069044476a7f49b9b83f6364654c85c3,2,2,18.725732387588113,0.10333402454853058
A,069044476a7f49b9b83f6364654c85c3,3,2,18.72573721348351,0.10333389788866043
A,0692e0ff0ef34b21b1f3659270d2e558,1,2,18.325259087948787,0.11235231161117554
A,0692e0ff0ef34b21b1f3659270d2e558,2,2,18.325246160656697,0.1123524159193039
A,0692e0ff0ef34b21b1f3659270d2e558,3,2,18.325257987752217,0.11235227435827255
A,06dd0877eb584e569d1bc9070e42baa2,1,2,17.9943282817277,0.10341142117977142
A,06dd0877eb584e569d1bc9070e42baa2,2,2,17.99432879146603,0.1034114807844162
A,06dd0877eb584e569d1bc9070e42baa2,3,2,17.994322674610032,0.10341145098209381
A,07a81928f67f4aa2ad0d59a057ae374e,1,2,15.60669985375723,0.1279328316450119
A,07a81928f67f4aa2ad0d59a057ae374e,2,2,15.606736035655057,0.12793190777301788
A,07a81928f67f4aa2ad0d59a057ae374e,3,2,15.606721621692156,0.1279325783252716
A,07c2642631f947a5ac799dddeea39eb9,1,2,14.330158288965984,0.17333005368709564
A,07c2642631f947a5ac799dddeea39eb9,2,2,14.33016398934718,0.1733299046754837
A,07c2642631f947a5ac799dddeea39eb9,3,2,14.330160919910222,0.1733299195766449
A,086be698bca14d7791d9032884909954,1,2,18.29490290539613,0.10412941873073578
A,086be698bca14d7791d9032884909954,2,2,18.294901266596334,0.10412945598363876
A,086be698bca14d7791d9032884909954,3,2,18.294902359129463,0.10412942618131638
A,087ca366dee64594bba4189b31dd7a45,1,2,16.68196647219051,0.11445653438568115
A,087ca366dee64594bba4189b31dd7a45,2,2,16.681948385820252,0.11445655673742294
A,087ca366dee64594bba4189b31dd7a45,3,2,16.68194009625906,0.11445650458335876
A,08aab5b01d384e0082c56c17fc9f2245,1,2,11.344144383445549,0.257693350315094
A,08aab5b01d384e0082c56c17fc9f2245,2,2,11.344144383445549,0.257693350315094
A,08aab5b01d384e0082c56c17fc9f2245,3,2,11.344144383445549,0.257693350315094
A,08bc3a0eec7042389949e2c5ad9bf700,1,2,16.034730340554624,0.15330499410629272
A,08bc3a0eec7042389949e2c5ad9bf700,2,2,16.034730340554624,0.15330499410629272
A,08bc3a0eec7042389949e2c5ad9bf700,3,2,16.03472936666738,0.15330499410629272
A,099450527f614a3e81baf1fe4fe087ab,1,2,14.640882324822517,0.15793761610984802
A,099450527f614a3e81baf1fe4fe087ab,2,2,14.640877614697551,0.15793761610984802
A,099450527f614a3e81baf1fe4fe087ab,3,2,14.640875259636985,0.15793760120868683
A,09fb340c826c402683eca48320936aec,1,2,17.169411200387856,0.11915847659111023
A,09fb340c826c402683eca48320936aec,2,2,17.16941162194415,0.11915863305330276
A,09fb340c826c402683eca48320936aec,3,2,17.169407406383048,0.11915866285562515
A,0a354259149c4930bac9bab65ce89cdd,1,2,23.600313251234894,0.055510297417640686
A,0a354259149c4930bac9bab65ce89cdd,2,2,23.60030954463617,0.055510327219963074
A,0a354259149c4930bac9bab65ce89cdd,3,2,23.600319737790283,0.055510278791189194
A,0a39c8c2a2df48b6a072da1d9306cf36,1,2,17.587191816069634,0.12582384049892426
A,0a39c8c2a2df48b6a072da1d9306cf36,2,2,17.587194136688073,0.12582379579544067
A,0a39c8c2a2df48b6a072da1d9306cf36,3,2,17.587194136688073,0.12582379579544067
A,0ae2a05bf20c4b028b86c33e26aa9e0c,1,2,18.308704115637287,0.10409654676914215
A,0ae2a05bf20c4b028b86c33e26aa9e0c,2,2,18.30869452555314,0.10409665107727051
A,0ae2a05bf20c4b028b86c33e26aa9e0c,3,2,18.308696717570506,0.10409661382436752
A,0af17e65f26647cc99709f7d15944994,1,2,16.825007966104202,0.10877752304077148
A,0af17e65f26647cc99709f7d15944994,2,2,16.825004850766973,0.10877755284309387
A,0af17e65f26647cc99709f7d15944994,3,2,16.825000567181934,0.10877768695354462
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,1,2,20.971115654504114,0.07700897008180618
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,2,2,20.971102503203735,0.07700910419225693
A,0b1cc5fa9d8744ddabb84d3ec55b9a97,3,2,20.971125265094955,0.07700880616903305
A,0b6168841a3f46bdaa56947d469c79da,1,2,11.648847976722397,0.2604203522205353
A,0b6168841a3f46bdaa56947d469c79da,2,2,11.648847503724507,0.2604203522205353
A,0b6168841a3f46bdaa56947d469c79da,3,2,11.648847030726671,0.2604203522205353
A,0bba5774d2bd40e48a2d246fdd0b92f5,1,2,12.147233940455651,0.18820072710514069
A,0bba5774d2bd40e48a2d246fdd0b92f5,2,2,12.147234205713254,0.18820074200630188
A,0bba5774d2bd40e48a2d246fdd0b92f5,3,2,12.147234205713254,0.18820075690746307
