scene,N,subset,pixel_seed,init_mode,information,reconstruction_error,final_objective,grad_norm,proj_grad_norm
conf_cube_axis,3,"1,15,31",2093279801,global,-8.170715154782643,0.02630646713078022,6.197227776283398e-05,0.0002147793728239811,1.281821370124817
conf_cube_axis,3,"1,15,31",2093279801,oracle_local,-8.170715154782643,0.003244915744289756,6.370945629896596e-05,0.0003207029285732109,2.802022695541382
conf_cube_axis,3,"11,14,29",2139411774,global,-7.530533878305924,0.007808269467204809,6.569625838892534e-05,0.0002518548333991504,1.6756436824798584
conf_cube_axis,3,"11,14,29",2139411774,oracle_local,-7.530533878305924,0.003189279930666089,7.209746399894357e-05,0.00031833178936581543,2.494868278503418
conf_cube_axis,3,"9,24,26",1617650276,global,-7.388351358052009,0.00508875772356987,6.795866647735238e-05,0.0002685495814372597,1.8266359567642212
conf_cube_axis,3,"9,24,26",1617650276,oracle_local,-7.388351358052009,0.0031324720475822687,7.608745363540947e-05,0.00032075135933409555,2.3746283054351807
conf_cube_axis,3,"7,12,26",1590557582,global,-7.412350218288664,0.004426604602485895,6.18910780758597e-05,0.00025690114337688683,1.8256914615631104
conf_cube_axis,3,"7,12,26",1590557582,oracle_local,-7.412350218288664,0.003194945864379406,7.057192124193534e-05,0.00031704951174471726,2.528898000717163
conf_cube_axis,3,"7,13,22",845384362,global,-7.005477580374351,0.003020282369107008,6.719730299664661e-05,0.0002975576229554323,2.1533467769622803
conf_cube_axis,3,"7,13,22",845384362,oracle_local,-7.005477580374351,0.0031121589709073305,7.296112744370475e-05,0.0003241915910460737,2.510934829711914
conf_cube_axis,3,"4,10,13",668723535,global,-6.920091119803478,0.0028780722059309483,7.237502723000944e-05,0.00031207811381523266,2.1248855590820312
conf_cube_axis,3,"4,10,13",668723535,oracle_local,-6.920091119803478,0.002980447607114911,7.909742271294817e-05,0.00032471616923259084,2.350738763809204
conf_cube_axis,3,"0,9,28",451020263,global,-6.92985268319666,0.0029976412188261747,6.732968904543668e-05,0.000279578135429641,2.0128707885742188
conf_cube_axis,3,"0,9,28",451020263,oracle_local,-6.92985268319666,0.003087956691160798,7.35608846298419e-05,0.00031985620439364826,2.44441556930542
