scene,N,subset,pixel_seed,information,reconstruction_error,final_objective,grad_norm,proj_grad_norm,success,converged,iters
A_cylinder,3,"12,19,27",2082615974,-8.517307302482317,0.0650266706943512,0.00010054877202492207,0.00023618484040459378,0.9915894269943237,0,0,1400
A_cylinder,3,"15,23,25",1221161310,-7.985359676649971,0.036342523992061615,0.00010739391291281208,0.000265693391806566,1.0547910928726196,0,0,1400
A_cylinder,3,"12,25,30",106524022,-9.095568425014633,0.12979184091091156,0.00011452320904936641,0.00020767362046108002,0.6907316446304321,0,0,1400
A_cylinder,3,"7,12,22",1483182192,-8.901734739611852,0.10926305502653122,9.153451537713408e-05,0.00020314911840943754,0.763742983341217,0,0,1400
A_cylinder,3,"20,22,29",1869969370,-7.5555412325162346,0.022265056148171425,0.0001262113219127059,0.0002909154063919301,1.093078851699829,0,0,1400
A_cylinder,3,"4,9,26",84177489,-7.323672169954108,0.011107780039310455,7.502374501200393e-05,0.00027267199926182394,1.7236248254776,0,0,1400
A_cylinder,3,"1,14,29",1761368854,-7.48760708968192,0.0161806121468544,9.960834722733125e-05,0.0002813720862570034,1.318186640739441,0,0,1400
A_cylinder,3,"11,22,23",1829202292,-7.594743677142766,0.010784665122628212,8.810452709440142e-05,0.0002748566931223055,1.4037226438522339,0,0,1400
A_cylinder,3,"4,12,26",1150014689,-7.330720392695529,0.011097093112766743,7.927638944238424e-05,0.0002745457713445312,1.650881290435791,0,0,1400
A_cylinder,3,"3,10,28",490469402,-7.1273344587283285,0.01110321469604969,8.048510790104046e-05,0.00028476998993796085,1.7463163137435913,0,0,1400
A_cylinder,3,"17,18,21",578602615,-7.184240567335853,0.01166705135256052,9.504836634732783e-05,0.0002858721317359284,1.571661353111267,0,0,1400
A_cylinder,3,"21,24,30",1125319874,-7.27020984733253,0.012094802223145962,9.301967656938359e-05,0.0003244077508696769,2.175806760787964,0,0,1400
A_cylinder,3,"13,20,29",1553137798,-7.1183600186659675,0.014372210018336773,9.109269740292802e-05,0.00030000621373865824,1.7644160985946655,0,0,1400
A_cylinder,3,"9,11,13",624951034,-7.064340987319883,0.007584230974316597,7.757218554615974e-05,0.0003017828658329675,2.0152971744537354,0,0,1400
A_cylinder,3,"3,6,20",1457508629,-7.073704022348943,0.004863015376031399,6.593196303583682e-05,0.000295869335941896,2.0808799266815186,0,0,1400
A_cylinder,3,"10,13,23",992218421,-7.102772852355008,0.01291338074952364,9.007122571347281e-05,0.0002934362286796736,1.7126061916351318,0,0,1400
A_cylinder,3,"8,12,25",1928804712,-6.992888140663122,0.004994786344468594,7.533063762821257e-05,0.0003211363885743051,2.2131123542785645,0,0,1400
A_cylinder,3,"6,8,13",778018708,-7.020027988311907,0.0070754047483205795,8.399601210840046e-05,0.0003189680568503179,2.063049554824829,0,0,1400
A_cylinder,3,"0,1,30",815442630,-6.952910237944061,0.006642700172960758,7.313010428333655e-05,0.0003210696073790911,2.338379383087158,0,0,1400
A_cylinder,3,"4,8,11",51725465,-7.022182645237664,0.007421240210533142,7.564106635982171e-05,0.00030268554143325334,2.06009840965271,0,0,1400
A_cylinder,5,"9,26,29,30,31",1173952233,-7.451453029245946,0.008029627613723278,7.747001654934138e-05,0.00028706671118606023,1.9474480152130127,0,0,1800
A_cylinder,5,"1,15,19,27,31",998950010,-7.953969183482167,0.012336237356066704,6.980654143262655e-05,0.00025894814764097204,1.572591781616211,0,0,1800
A_cylinder,5,"12,20,22,25,29",710157998,-7.652562042548562,0.006299334112554789,6.334138743113726e-05,0.0002845017065625966,2.094102382659912,0,0,1800
A_cylinder,5,"11,15,19,20,25",2010365051,-7.709580704340715,0.0037551261484622955,5.5755961511749774e-05,0.00028205084257742206,2.253584623336792,0,0,1800
A_cylinder,5,"2,4,6,16,29",1521818377,-7.253742132834787,0.007197140716016293,7.073712185956538e-05,0.000289388164167049,1.968923568725586,0,0,1800
A_cylinder,5,"4,6,10,11,25",2113962255,-7.29732139293414,0.004711288493126631,5.889072781428695e-05,0.0002941288550521327,2.468007802963257,0,0,1800
A_cylinder,5,"6,7,18,19,24",1481135220,-7.317697666809382,0.006857852451503277,6.88545114826411e-05,0.00029205955590537127,2.109945297241211,0,0,1800
A_cylinder,5,"9,11,12,25,26",387237610,-7.380057816471462,0.005912746302783489,6.524415221065283e-05,0.00029008783827984486,2.0608747005462646,0,0,1800
A_cylinder,5,"5,6,20,21,28",1673317007,-7.07123025243104,0.00675887381657958,7.479589839931577e-05,0.00031703455726079735,2.240985870361328,0,0,1800
A_cylinder,5,"9,10,20,21,23",1298189745,-7.22579768987464,0.007265899796038866,7.437144813593477e-05,0.00029635106577171146,2.0198001861572266,0,0,1800
A_cylinder,5,"5,18,23,26,28",161247767,-7.140452507789431,0.011285495944321156,8.624966721981764e-05,0.000297562526415231,1.8876644372940063,0,0,1800
A_cylinder,5,"3,4,6,17,27",1739526218,-7.179575936039726,0.004397454205900431,5.590045839198865e-05,0.00029522519063607044,2.344942092895508,0,0,1800
A_cylinder,5,"3,12,13,19,20",1675483751,-7.069229076053662,0.005445202346891165,7.0882000727579e-05,0.00031946578062704755,2.324845790863037,0,0,1800
