metric,test_MA_cutoff_rho,test_MB_cap_rho,test_MC_boot_cv,test_MC_boot_rho,test_MD_dup_ratio_med,test_ME_comp_ratio_med,test_MF_modedrop_rho_min,MA_PASS,MB_PASS,MC_PASS,MD_PASS,ME_PASS,MF_PASS
M1,0.9991149623068079,0.9926632664346688,0.07779572876988265,0.9961007929587933,0.9999306885573689,0.9985597444081613,0.9982353258898602,True,True,True,True,True,True
M2,0.9999524173283229,0.9959102050684547,0.11893776115115148,0.9969086695627795,0.9997654204503439,1.001552091277822,0.9999585902154594,True,True,True,True,True,True
M3,0.8162583559029519,0.7423493494034161,2.0266770812293107,0.7497172046080602,1.006069281216229,0.7362102477248378,0.14041543530428474,False,False,False,True,True,False
M4,0.9954099440067695,0.9929055522547756,0.42600789691176183,0.9910457128012818,0.9994811762672845,0.9974744591931605,0.9993590485523293,True,True,False,True,True,True
M5,0.999986882614835,0.9968541423930739,0.22193105676067898,0.9974418526891925,0.9979231806372963,1.0036260696622792,0.9999940843164941,True,True,True,True,True,True
