scene,N,subset,pixel_seed,base_cut,base_cap,M1_base,M2_base,M3_base,M4_base,M5_base,M1_cut1e-09,M2_cut1e-09,M3_cut1e-09,M4_cut1e-09,M5_cut1e-09,M1_cut1e-07,M2_cut1e-07,M3_cut1e-07,M4_cut1e-07,M5_cut1e-07,M1_cap500,M2_cap500,M3_cap500,M4_cap500,M5_cap500,M1_cap2000,M2_cap2000,M3_cap2000,M4_cap2000,M5_cap2000,M1_boot0,M2_boot0,M3_boot0,M4_boot0,M5_boot0,M1_boot1,M2_boot1,M3_boot1,M4_boot1,M5_boot1,M1_boot2,M2_boot2,M3_boot2,M4_boot2,M5_boot2,M1_boot3,M2_boot3,M3_boot3,M4_boot3,M5_boot3,M1_boot4,M2_boot4,M3_boot4,M4_boot4,M5_boot4,M1_dup,M2_dup,M3_dup,M4_dup,M5_dup,M1_comp,M2_comp,M3_comp,M4_comp,M5_comp,M1_drop1,M2_drop1,M3_drop1,M4_drop1,M5_drop1,M1_drop3,M2_drop3,M3_drop3,M4_drop3,M5_drop3,M1_drop5,M2_drop5,M3_drop5,M4_drop5,M5_drop5
conf_cube_axis,3,"3,13,28",390846948,1e-08,1000,-6.957636637289433,4.563089866627197,541606.375380182,-7.070112574495157,957.8388591988002,-6.957636637289433,4.563089866627197,541606.375380182,-7.070112574495157,957.8388591988002,-6.9534944737077,4.569093255345083,367779.46717981744,-7.071754002733993,959.1451018285884,-6.280653307225681,5.236599084418327,851951064.361866,-6.360960573396222,478.3976393638573,-7.639304604811982,3.8923793963759916,26826.656078429925,-7.7563567118516605,1922.6826383591108,-6.95979712920343,4.562337375141353,1244461.6937462639,-7.0756404443597205,957.2132498615275,-6.977644401573225,4.563423990577621,859701276.5614401,-7.066576363962928,958.0659171986679,-6.9780262500567565,4.563218237153666,396705559.809862,-7.068391328149254,957.9311230124225,-6.957312620924179,4.56306279667486,440818.7964477169,-7.069333465466109,957.7460525649853,-6.952034437885524,4.571308946458767,800013.6733341117,-7.052567425456971,961.3338654367767,-6.940170839715202,4.580071054876385,397084.14150306385,-7.014754345624651,976.5782769262804,-6.968259690321672,4.552742075817046,557259.5703480337,-7.098624092816729,946.4285820769352,-6.957636637289433,4.567657524218815,541606.375380182,-7.070112574495157,957.8388591950144,-6.957636637289433,4.576820327630124,541606.375380182,-7.070112574495157,957.8388591846857,-6.937536621835923,4.58592362773709,1059.288971487986,-7.070112574495157,957.831191805667
conf_cube_axis,3,"5,12,29",1117501134,1e-08,1000,-6.971844056392781,4.538939659767857,1171.2137831674613,-7.132386801637448,926.3957913365992,-6.96671859060537,4.534462721758595,1110.7209752730494,-7.130791819661192,925.4091255496643,-6.971844056392781,4.538939659767857,1171.2137831674613,-7.132386801637448,926.3957913365992,-6.2802821205705195,5.207137218118625,598.2192367629101,-6.447124147708945,460.538358488097,-7.667693804237909,3.8618827252434937,2283.774871802394,-7.843545877381057,1851.8950001428861,-6.974101592671079,4.534256985650256,2354.7009884160857,-7.132613371396834,925.2056509384154,-6.96961208427524,4.54085333826295,1128.6135520095265,-7.127441055454964,927.5446142405909,-6.974792853475968,4.536056931818037,1176.5668696189887,-7.148576722739872,924.0458686640152,-6.973693411898352,4.534580954121404,2255.6193251510986,-7.131280434348412,925.5006786718943,-7.014845987396332,4.5322051810856925,549698829.7080708,-7.143827263601773,923.5287955238064,-6.933368259904302,4.591595398706009,3975869.4611082072,-6.981258344097444,985.3737904629967,-6.985773495819854,4.525309000663782,1198.0305672817258,-7.162058557502278,911.3352568303432,-6.971844056392781,4.543483142910489,1171.2137831674613,-7.132386801637448,926.3957913365276,-6.971844056392781,4.552597452122097,1171.2137831674613,-7.132386801637448,926.395791336075,-6.967629947100416,4.556348995491223,1111.8730857179319,-7.132386801637448,925.3533210478389
conf_cube_axis,3,"3,12,18",455256121,1e-08,1000,-7.02878363929549,4.520309431673598,944268313.7773603,-7.174939074834554,911.0788823015228,-7.02878363929549,4.520309431673598,944268313.7773603,-7.174939074834554,911.0788823015228,-6.986428488247602,4.524714473738276,1205.7479354879579,-7.176509124347212,912.0713478675683,-6.296510027248835,5.191482076489681,656.8772288656908,-6.492823453443519,453.2865508356972,-7.690715795199283,3.8487212840037084,128840852.81095041,-7.8720552402342605,1826.420584151846,-6.9889077832625,4.522604619302001,1273.0084831452682,-7.186428173025697,910.7166438067111,-6.986880082248394,4.523089884256905,6242.162902295003,-7.1603299275731365,913.2608493031597,-7.007439601852439,4.522856174167039,922872469.6585734,-7.161522636100177,913.0679627301663,-7.018997902733386,4.517539675020825,417035564.6093979,-7.1910385824868435,909.080107684238,-6.979284877377783,4.522192465472585,1134.5129472603535,-7.165468352246804,912.6149269524916,-6.98149199962385,4.566095054561099,748230380.184375,-7.060134777802204,961.1844665372278,-7.050307978210457,4.499350218643491,987291874.3608271,-7.219505663607714,888.7623510407561,-7.02878363929549,4.524834265950097,944268313.7773603,-7.174939074834554,911.0788823009636,-7.008319892313029,4.533911165055469,123923963.14036298,-7.174939074834554,911.0788822765063,-6.9812407509736705,4.543004563632217,1138.917143616436,-7.174939074834554,911.0771239960326
conf_cube_axis,3,"11,16,21",481171505,1e-08,1000,-7.006567107933162,4.514153863356526,213793.60908021868,-7.183589697117211,903.8490249017948,-7.006567107933162,4.514153863356526,213793.60908021868,-7.183589697117211,903.8490249017948,-7.008884408824212,4.517803800027696,3321032.189719493,-7.185333483471186,904.5158100781618,-6.329238419765289,5.17660584542475,264628.7034362194,-6.490975068632298,449.58448904768056,-7.694671795137015,3.8436495652279645,4138273.796088567,-7.883482061987275,1812.1440483381098,-7.030093348428448,4.516745963056615,673646152.6645607,-7.169870127227422,905.9140013609253,-7.009771958060695,4.517553064396376,4988115.039599673,-7.186890188414061,904.5224197365337,-7.015583228979598,4.511066647200934,5061021.874103788,-7.197027320630276,901.3864170268945,-7.013058248719791,4.515151711253665,7950140.978088329,-7.2001407178997106,902.9555865207343,-7.007582454667596,4.519771324768561,4537508.642692235,-7.175197032599311,906.2598458825549,-7.048539152150889,4.4919830571119626,562770743.636447,-7.2294942880834,880.2713296976411,-7.028786405363169,4.49248930788703,223664.09597672385,-7.228348574017092,880.8690432103267,-7.006567107933162,4.518672535994667,213793.60908021868,-7.183589697117211,903.8490248964346,-7.006567107933162,4.527737074627362,213793.60908021868,-7.183589697117211,903.8490248851651,-6.987622759072623,4.536730135921631,1149.822861469372,-7.183589697117211,903.840923406529
conf_cube_axis,3,"11,23,27",1191654363,1e-08,1000,-8.053103189598362,3.5099243520238397,461886.35866808286,-8.763498592079586,373.73509757085543,-8.076214161595166,3.5048298851786264,461472650.2477127,-8.762164568931896,372.83439005288943,-8.053103189598362,3.5099243520238397,461886.35866808286,-8.763498592079586,373.73509757085543,-7.388504381108966,4.149777380217461,441146.2122907036,-8.167724708320328,194.66119636038454,-8.732634962300978,2.873252656823613,325778.22139699006,-9.404737677866493,730.0576078633504,-8.019270501446819,3.532750238059709,21573.540604612026,-8.623858005167726,352.24703494206204,-8.036111010260422,3.523986824838662,433556.00554113305,-8.674837785409142,359.30456501894696,-8.038851916316295,3.5216818388735893,454505.4093736233,-8.687439319759214,361.2302137547086,-8.059567736041739,3.503948533274821,415338.4963074122,-8.775133639154358,374.26497324330177,-8.02723846981279,3.530258135324143,370255.2610720961,-8.639118093174913,355.0557289250489,-7.884531618259098,3.6688313930872107,535425.889122176,-8.535404601352866,411.79611343904696,-8.109485169935521,3.457351327634257,499504.9462853542,-8.838570124803262,362.88337788830955,-8.053103189598362,3.5134377898136178,461886.35866808286,-8.763498592079586,373.7350975708511,-8.041182639998837,3.5204855894927287,5028.845196415916,-8.763498592079586,373.73508526372,-8.038321771979078,3.523149933666766,5006.405197815762,-8.763498592079586,373.4354107447644
conf_cube_axis,3,"16,21,24",545970953,1e-08,1000,-7.052767122724577,4.474832145663549,4416822.736199686,-7.265785624526202,858.4266648745464,-7.085550000078563,4.470838437037617,537433039.6429822,-7.263751155353464,857.600620926615,-7.052767122724577,4.474832145663549,4416822.736199686,-7.265785624526202,858.4266648745464,-6.385121935821449,5.134445606011436,4392046.384352839,-6.611372691467802,424.80976551604545,-7.733890842263425,3.8031247515938014,477487.7731261074,-7.947765316957803,1723.5205188167242,-7.08311551289901,4.463366290664901,541890099.4351825,-7.299078562719381,853.1169400044398,-7.058123837993234,4.468686084867522,7351254.559014228,-7.273921904178445,856.2915164606031,-7.058369568937995,4.468366095093194,8377657.831858366,-7.275408831736215,856.0897133371402,-7.054312930793032,4.474528970447643,8741702.557037778,-7.26486068511741,858.3168723965562,-7.050242668895105,4.4756264866838045,4484448.121511818,-7.24377926467411,860.8428267033229,-7.026781886604204,4.4998043213430625,2375253.37539118,-7.2173791185756055,884.6416039309,-7.07478040379817,4.4533327183312545,4596634.156986479,-7.305284486275165,836.6172487076414,-7.052767122724577,4.4793114571211365,4416822.736199686,-7.265785624526202,858.4266648745228,-7.037567909651972,4.4882970140128595,1334.4766564370425,-7.265785624526202,858.4266616696565,-7.032811805362882,4.492353671583664,1232.2875976429543,-7.265785624526202,857.4719271904092
conf_cube_axis,3,"27,30,31",1934242242,1e-08,1000,-8.614731389921964,2.9834109650629665,9997.09160060992,-9.430095819865775,273.8119801719856,-8.630041279781492,2.9786013730104663,98368640.37854639,-9.42928685676796,273.22925091316927,-8.614731389921964,2.9834109650629665,9997.09160060992,-9.430095819865775,273.8119801719856,-7.9252160071854725,3.6146585583191704,5029.171214152007,-8.739490011273526,136.52697127251926,-9.321153015180977,2.3760293143499975,45482073.24141215,-10.133891677127904,550.6403172542427,-8.625309205706014,2.9777080122740065,10559.647745615575,-9.501438677461069,286.5869786341306,-8.627072498604836,2.9741628039688477,10773.586642408618,-9.509741033440866,287.8262575032077,-8.623401715972992,2.9780368955294554,10370.920005151478,-9.47984979053268,282.3290668899681,-8.646365258725782,2.974749968471212,862425549.6948049,-9.441723441266483,274.7049690666782,-8.622010404579704,2.979770991396801,24109.47551944592,-9.39983247300002,267.69670422350436,-8.807866798163953,2.814871073294243,12745.735683465202,-9.675835120512367,257.87002796249806,-7.02025279503056,4.502747402585484,138535.7994255085,-7.212462405607772,885.9490979343219,-8.614731389921964,2.98639736242537,9997.09160060992,-9.430095819865775,273.8119801719832,-8.614731389921964,2.9923881294500805,9997.09160060992,-9.430095819865773,273.8119801718915,-8.611794868843612,2.9950204354942516,9959.131794575265,-9.430095819865773,273.66919696791143
conf_cube_axis,3,"6,19,25",833832838,1e-08,1000,-9.711939771310817,2.1186240661749522,103535.7775626926,-10.793858946824454,216.96555724536125,-9.711939771310817,2.1186240661749522,103535.7775626926,-10.793858946824454,216.96555724536125,-9.735708956183457,2.122378137260541,1031233800.4619433,-10.794584927593178,217.41097327485213,-9.024789541838002,2.6625377148257785,92640.93079570045,-10.134691258245889,111.56345995131275,-10.403170644140701,1.6548811898925573,80794.52451793812,-11.489173464134181,434.4736164489088,-9.720430861326387,2.125006585605849,1740821.511192605,-10.837407402767791,224.79000212400015,-9.66678340017895,2.187748899794612,44156.07944396789,-10.966303739069852,253.32999529907886,-9.697775604479604,2.1433793790204283,41803.462024070104,-10.879937637296909,233.896419510445,-9.73129817695868,2.10547398459162,494512972.34692276,-10.726118600198346,204.71370830063822,-9.688368109313359,2.1500100248785925,26918086.794151917,-10.83631537496838,226.89533610074295,-9.80998922327787,2.054177999455465,92193.79639625137,-10.917540305228126,214.66313739164679,-7.054656626170556,4.461921244242279,4995.024451300674,-7.278736470614267,847.3519531041427,-9.711939771310817,2.1207448110014284,103535.7775626926,-10.793858946824454,216.96555724521403,-9.711939771310817,2.1249990633806632,103535.7775626926,-10.793858946824454,216.96555724517432,-9.701544545811434,2.128700670880065,38938.72377790314,-10.793858946824452,216.95329615132707
conf_cube_axis,3,"0,5,7",35302897,1e-08,1000,-6.977767814129714,4.535997269684353,2800.5609196304235,-7.763015652660324,944.917065190844,-6.9694027288564735,4.532379517243404,1171.8231055128708,-7.761570865965686,943.9715461906194,-6.977767814129714,4.535997269684353,2800.5609196304235,-7.763015652660324,944.917065190844,-6.3100457197203434,5.204491016371523,151660621.97560436,-7.067065076770073,470.9791749996848,-7.673717427559008,3.860339367073001,8138.575616495169,-8.45702353684842,1890.8505684378322,-6.983807013573215,4.541347796220793,782906.8275326919,-7.776546687265204,949.068754298616,-6.982714831074528,4.5366804759003205,43705.89458133307,-7.776003286633297,947.5168106087327,-7.003740034128821,4.533232269774778,630950024.4540732,-7.7673155067404025,944.6720870602961,-6.974681213308203,4.538668860993523,2291.1570392734643,-7.770195176155748,947.1836153641706,-6.979651163065604,4.529082996256259,2068.1592666268116,-7.754123664584098,941.033232373324,-7.032267562484235,4.502735921731145,354868573.608362,-8.010606528263668,924.7258506603222,-6.9550962079001115,4.5579517832633645,2764.577252596262,-7.576496116859983,960.1433089873025,-6.977767814129714,4.540537807492408,2800.5609196304235,-7.763015652660324,944.9170651908129,-6.977767814129714,4.549646208309557,2800.5609196304235,-7.763015652660324,944.9170651907248,-6.969619301652562,4.554939046157053,1171.849979415857,-7.763015652660324,944.1441028108466
conf_cube_axis,3,"1,10,18",1842434421,1e-08,1000,-7.066129886919606,4.460855977137788,4186169.4209481,-7.290934392695777,848.6248824408567,-7.066129886919606,4.460855977137788,4186169.4209481,-7.290934392695777,848.6248824408567,-7.066740228135682,4.464169783091437,790209.5462918316,-7.292651526847363,849.3724546659349,-6.429905653756199,5.12697413721,811689060.7291728,-6.578636460880579,423.29991391898346,-7.750539337127241,3.7902724462259445,14521278.914052857,-7.985257597345542,1700.7773884565104,-7.062618966869211,4.4650090113242165,6106729.550760055,-7.270468909425726,850.8819717886589,-7.053268525013785,4.4586734474688345,9601.981173116506,-7.297688199939503,846.8836818253982,-7.074059025701284,4.45493200442926,26970096.028460562,-7.314013255265286,844.6053230876805,-7.059670562199741,4.467247845303118,4286111.191500428,-7.2612171539132575,852.3583244791537,-7.040372631068406,4.462515006268035,1247.2048393096597,-7.280919950080108,849.3058825674368,-7.093255895872492,4.4344195121832675,4392396.100237532,-7.339037869641078,822.369511594377,-6.971015536417982,4.546914861462512,94621.2406210429,-7.110475414950627,939.3135138197179,-7.066129886919606,4.465321298454967,4186169.4209481,-7.290934392695777,848.6248824399431,-7.066129886919606,4.474278813585203,4186169.4209481,-7.290934392695777,848.6248824373955,-7.0421013931658285,4.48325977780534,1252.1846085980903,-7.290934392695777,848.6237981962192
