domain,scene,E_S3,E_S3_new,E_S3_dup,d_new,d_dup
analytic_noisy_sh,00f7c6d95b7d4c359681cc3b93f8a077,0.0019648829475045204,0.001974336104467511,0.001990510383620858,-9.45315696299076e-06,-2.5627436116337776e-05
analytic_noisy_sh,00ff6c772dce4e84bf66544ada6093a0,0.01638798788189888,0.0165752861648798,0.016024760901927948,-0.00018729828298091888,0.000363226979970932
analytic_noisy_sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014741328777745366,0.0001474129530834034,0.000147413564263843,3.346940502524376e-10,-2.764863893389702e-10
analytic_noisy_sh,0109cde49c664b408e6a95a82d235070,0.07322464883327484,0.08079306781291962,0.07683615386486053,-0.007568418979644775,-0.0036115050315856934
analytic_noisy_sh,01f2d9c189f5404c97f696d022b0ad81,0.0008758274489082396,0.0008758536423556507,0.0008759276242926717,-2.6193447411060333e-08,-1.0017538443207741e-07
analytic_noisy_sh,024bfdbc8f1c4a75bdbaaecb905e04e8,0.033253397792577744,0.03566529601812363,0.033751439303159714,-0.002411898225545883,-0.0004980415105819702
analytic_noisy_sh,027e8e8787bf40689bdd8e795636a106,0.024546554312109947,0.024943947792053223,0.024604829028248787,-0.00039739347994327545,-5.827471613883972e-05
analytic_noisy_sh,02c1619333c74000886bee7b9667e1d6,0.0001478834601584822,0.00014788379485253245,0.00014788399857934564,-3.346940502524376e-10,-5.384208634495735e-10
analytic_noisy_sh,02fc000a981e416386d8cc51c858de5b,0.05226797237992287,0.05673929303884506,0.0549454428255558,-0.0044713206589221954,-0.0026774704456329346
analytic_noisy_sh,03ba54375bcb45d1a92a5dcb9e8e3a59,0.03264760598540306,0.03400116413831711,0.0330507718026638,-0.0013535581529140472,-0.0004031658172607422
analytic_noisy_sh,0437089225fb4b8496c6c4a824d370e6,0.035443663597106934,0.038866277784109116,0.035316385328769684,-0.003422614187002182,0.00012727826833724976
analytic_noisy_sh,048002dcad254cf8b57d51d84ad84435,0.025328749790787697,0.026524178683757782,0.025455720722675323,-0.0011954288929700851,-0.00012697093188762665
analytic_noisy_sh,04dbe2471a134bd68f5b8d8d4af95aae,0.023822106420993805,0.02510806918144226,0.024011092260479927,-0.0012859627604484558,-0.00018898583948612213
analytic_noisy_sh,04e43ff1195e45029a03b6cdc53f9aa8,0.00014698394807055593,0.0001469744893256575,0.0001469869166612625,9.458744898438454e-09,-2.9685907065868378e-09
analytic_noisy_sh,04e5ee9a0baa446e9ab973cce0153bc8,0.00014720730541739613,0.00014720771287102252,0.00014720774197485298,-4.0745362639427185e-10,-4.3655745685100555e-10
analytic_noisy_sh,05703932eb2c45c0918d4f91c875d064,0.012771662324666977,0.013186274096369743,0.01282565575093031,-0.0004146117717027664,-5.399342626333237e-05
analytic_noisy_sh,060c9e87a01b4fd08f87578d63e4961e,0.012019826099276543,0.01320243813097477,0.011823217384517193,-0.001182612031698227,0.00019660871475934982
analytic_noisy_sh,062ad5b97bf34d75b7c7003b9b6f2cb0,0.003934703767299652,0.0038668550550937653,0.00404865387827158,6.784871220588684e-05,-0.00011395011097192764
analytic_noisy_sh,069044476a7f49b9b83f6364654c85c3,0.03659530356526375,0.03935273736715317,0.037276871502399445,-0.0027574338018894196,-0.0006815679371356964
analytic_noisy_sh,0692e0ff0ef34b21b1f3659270d2e558,0.02946767956018448,0.030444342643022537,0.02979169227182865,-0.0009766630828380585,-0.00032401271164417267
analytic_noisy_sh,06dd0877eb584e569d1bc9070e42baa2,0.06636558473110199,0.06781495362520218,0.06686405837535858,-0.0014493688941001892,-0.0004984736442565918
analytic_noisy_sh,07a81928f67f4aa2ad0d59a057ae374e,0.040760524570941925,0.04274243861436844,0.042917486280202866,-0.0019819140434265137,-0.0021569617092609406
analytic_noisy_sh,07c2642631f947a5ac799dddeea39eb9,0.02138959802687168,0.022472647950053215,0.021532509475946426,-0.0010830499231815338,-0.00014291144907474518
analytic_noisy_sh,086be698bca14d7791d9032884909954,0.013236903585493565,0.015050457790493965,0.01392521895468235,-0.0018135542050004005,-0.0006883153691887856
analytic_noisy_sh,087ca366dee64594bba4189b31dd7a45,0.015023598447442055,0.01623285934329033,0.014844914898276329,-0.0012092608958482742,0.0001786835491657257
analytic_noisy_sh,08aab5b01d384e0082c56c17fc9f2245,0.0001469177077524364,0.00014691826072521508,0.0001469174021622166,-5.529727786779404e-10,3.055902197957039e-10
analytic_noisy_sh,08bc3a0eec7042389949e2c5ad9bf700,0.01006065122783184,0.01046199444681406,0.010204063728451729,-0.0004013432189822197,-0.0001434125006198883
analytic_noisy_sh,099450527f614a3e81baf1fe4fe087ab,0.023428793996572495,0.024561423808336258,0.02387923188507557,-0.0011326298117637634,-0.00045043788850307465
analytic_noisy_sh,09fb340c826c402683eca48320936aec,0.00014792925503570586,0.00014793084119446576,0.00014793033187743276,-1.5861587598919868e-09,-1.076841726899147e-09
analytic_noisy_sh,0a354259149c4930bac9bab65ce89cdd,0.013286850415170193,0.013991786167025566,0.013335094787180424,-0.0007049357518553734,-4.824437201023102e-05
analytic_noisy_sh,0a39c8c2a2df48b6a072da1d9306cf36,0.01876470260322094,0.02093568816781044,0.019391577690839767,-0.0021709855645895004,-0.0006268750876188278
