domain,model,scene,N,si_mae_A,light_dir_err,light_shape_err
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,1,0.007140833418816328,22.530877012411956,0.6154073001673404
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,2,0.008700122125446796,16.870797073157767,0.4873656829782649
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,3,0.0020764172077178955,16.795494320179333,0.5069994218248352
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,5,0.0019067947287112474,12.5446275535557,0.4388625360340657
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,7,0.002108524087816477,17.03872894373183,0.49332514906643876
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,10,0.0019278395920991898,12.027247952976868,0.4035766945906792
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,15,0.0019439568277448416,12.72633219623758,0.41950232259419773
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,1,0.04738304764032364,1.884011365797523,0.1631170272864914
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,2,0.026833942160010338,4.375487818038825,0.22892112097387374
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,3,0.01641872525215149,2.6254824767492244,0.2588591559740064
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,5,0.016820766031742096,1.4700330002509145,0.2310029883718951
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,7,0.016199609264731407,5.447437618432657,0.27107125289533934
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,10,0.016852976754307747,2.1878185932556824,0.23844079725809428
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,15,0.01676071621477604,3.6672347076566987,0.24676444732780076
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,1,0.00014741226914338768,46.7302853106646,1.0141958509226656
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,2,0.00014741328777745366,54.37514633058909,0.9154070744117495
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,3,0.00014741241466253996,88.3390741587499,0.962902692680012
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,5,0.00014741292397957295,118.84869531714155,1.006913805987057
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,7,0.00014741263294126838,77.57409852414244,1.0034447250674923
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,10,0.00014741317136213183,103.89334959656844,1.0504344010287174
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,15,0.0001474128948757425,86.73520881896121,1.0669014581639475
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,1,0.21647615730762482,22.99021810974963,0.6512520625331658
