domain,model,scene,si_mae_A,kappa_lighting,N,angular_spread_deg,cov_eig_min,cov_eig_max,cov_eig_ratio
real5_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.03936329856514931,757918.3338196862,1,0.0,0.0,1.0,999999999.9999999
real5_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.039361994713544846,757918.3338196862,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.03936129808425903,757918.3338196861,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.03936208412051201,757918.3338196862,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
real5_dir,dir,00f7c6d95b7d4c359681cc3b93f8a077,0.03971821069717407,757918.3338196862,1,0.0,0.0,1.0,999999999.9999999
real5_dir,dir,00f7c6d95b7d4c359681cc3b93f8a077,0.03973148763179779,757918.3338196862,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_dir,dir,00f7c6d95b7d4c359681cc3b93f8a077,0.03969337046146393,757918.3338196861,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_dir,dir,00f7c6d95b7d4c359681cc3b93f8a077,0.03970294073224068,757918.3338196862,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.005229081958532333,757918.3338196862,1,0.0,-7.878790776790847e-17,1.0000000000000002,1000000000.0000001
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.00617118738591671,757918.3338196862,2,91.93636879435786,-6.965982580043237e-17,0.5168947889474056,516894788.9474056
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.001987884985283017,757918.3338196861,3,77.09205727460716,0.14688118189864752,0.5137753327176795,3.4978975936631564
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.0018776186043396592,757918.3338196862,5,61.81534383266445,0.17493355350172302,0.5705465989928648,3.2615046546073
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.002024293877184391,757918.3338196863,7,59.88206349279662,0.1519172004235042,0.6309873649805381,4.15349521464005
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.0019020949257537723,757918.3338196862,10,63.575598474905874,0.20893337081535576,0.5102518458695189,2.4421749569170186
analytic15_sh,sh,00f7c6d95b7d4c359681cc3b93f8a077,0.0019126547267660499,757918.3338196861,15,61.71839991424037,0.22533685390353586,0.5010169173313568,2.223413119745767
real5_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.15084891021251678,11067.022357349839,1,0.0,0.0,1.0,999999999.9999999
real5_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.15086238086223602,11067.022357349839,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.15085040032863617,11067.022357349839,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.1508505940437317,11067.022357349839,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
real5_dir,dir,00ff6c772dce4e84bf66544ada6093a0,0.14970436692237854,11067.022357349839,1,0.0,0.0,1.0,999999999.9999999
real5_dir,dir,00ff6c772dce4e84bf66544ada6093a0,0.14800697565078735,11067.022357349839,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_dir,dir,00ff6c772dce4e84bf66544ada6093a0,0.14533062279224396,11067.022357349839,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_dir,dir,00ff6c772dce4e84bf66544ada6093a0,0.14513367414474487,11067.022357349839,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.019241545349359512,11067.022357349839,1,0.0,-7.878790776790847e-17,1.0000000000000002,1000000000.0000001
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.014629306271672249,11067.022357349839,2,91.93636879435786,-6.965982580043237e-17,0.5168947889474056,516894788.9474056
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.016482001170516014,11067.022357349839,3,77.09205727460716,0.14688118189864752,0.5137753327176795,3.4978975936631564
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.016884781420230865,11067.022357349839,5,61.81534383266445,0.17493355350172302,0.5705465989928648,3.2615046546073
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.016242744401097298,11067.022357349839,7,59.88206349279662,0.1519172004235042,0.6309873649805381,4.15349521464005
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.016842419281601906,11067.022357349839,10,63.575598474905874,0.20893337081535576,0.5102518458695189,2.4421749569170186
analytic15_sh,sh,00ff6c772dce4e84bf66544ada6093a0,0.016774857416749,11067.022357349839,15,61.71839991424037,0.22533685390353586,0.5010169173313568,2.223413119745767
real5_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.0001422669884050265,23356.745664565973,1,0.0,0.0,1.0,999999999.9999999
real5_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014226238999981433,23356.745664565973,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014226390339899808,23356.745664565973,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014226287021301687,23356.745664565973,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
real5_dir,dir,0104f4b9bd3c476d949785e03f2ff7c6,0.00014237653522286564,23356.745664565973,1,0.0,0.0,1.0,999999999.9999999
real5_dir,dir,0104f4b9bd3c476d949785e03f2ff7c6,0.00014239347365219146,23356.745664565973,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_dir,dir,0104f4b9bd3c476d949785e03f2ff7c6,0.00014237650611903518,23356.745664565973,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_dir,dir,0104f4b9bd3c476d949785e03f2ff7c6,0.00014238386938814074,23356.745664565973,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.0001474136661272496,23356.745664565973,1,0.0,-7.878790776790847e-17,1.0000000000000002,1000000000.0000001
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014741328777745366,23356.745664565973,2,91.93636879435786,-6.965982580043237e-17,0.5168947889474056,516894788.9474056
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.0001474124874221161,23356.745664565973,3,77.09205727460716,0.14688118189864752,0.5137753327176795,3.4978975936631564
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.000147413564263843,23356.745664565973,5,61.81534383266445,0.17493355350172302,0.5705465989928648,3.2615046546073
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014741282211616635,23356.745664565973,7,59.88206349279662,0.1519172004235042,0.6309873649805381,4.15349521464005
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014741270570084453,23356.745664565973,10,63.575598474905874,0.20893337081535576,0.5102518458695189,2.4421749569170186
analytic15_sh,sh,0104f4b9bd3c476d949785e03f2ff7c6,0.00014741272025275975,23356.74566456598,15,61.71839991424037,0.22533685390353586,0.5010169173313568,2.223413119745767
real5_sh,sh,0109cde49c664b408e6a95a82d235070,0.1994767040014267,208440.82755338735,1,0.0,0.0,1.0,999999999.9999999
real5_sh,sh,0109cde49c664b408e6a95a82d235070,0.19947756826877594,208440.82755338735,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_sh,sh,0109cde49c664b408e6a95a82d235070,0.19947780668735504,208440.82755338735,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_sh,sh,0109cde49c664b408e6a95a82d235070,0.19947710633277893,208440.82755338735,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
real5_dir,dir,0109cde49c664b408e6a95a82d235070,0.19901086390018463,208440.82755338735,1,0.0,0.0,1.0,999999999.9999999
real5_dir,dir,0109cde49c664b408e6a95a82d235070,0.19894710183143616,208440.82755338735,2,73.68211509168376,0.0,0.6404831494894935,640483149.4894935
real5_dir,dir,0109cde49c664b408e6a95a82d235070,0.19870415329933167,208440.82755338735,3,63.62198731325187,0.09154881157779898,0.6335510497335919,6.920363452180858
real5_dir,dir,0109cde49c664b408e6a95a82d235070,0.19876334071159363,208440.82755338735,5,58.59192342403592,0.19873602715088184,0.6025279456982362,3.0318002947738942
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.20827706158161163,208440.82755338735,1,0.0,-7.878790776790847e-17,1.0000000000000002,1000000000.0000001
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.2109609842300415,208440.82755338735,2,91.93636879435786,-6.965982580043237e-17,0.5168947889474056,516894788.9474056
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.07344034314155579,208440.82755338735,3,77.09205727460716,0.14688118189864752,0.5137753327176795,3.4978975936631564
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.050582513213157654,208440.82755338735,5,61.81534383266445,0.17493355350172302,0.5705465989928648,3.2615046546073
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.08649395406246185,208440.82755338732,7,59.88206349279662,0.1519172004235042,0.6309873649805381,4.15349521464005
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.058483704924583435,208440.82755338732,10,63.575598474905874,0.20893337081535576,0.5102518458695189,2.4421749569170186
analytic15_sh,sh,0109cde49c664b408e6a95a82d235070,0.05969656631350517,208440.82755338732,15,61.71839991424037,0.22533685390353586,0.5010169173313568,2.223413119745767
