scene,N,success,grad_norm,final_loss,iters
cube,1,False,0.00011741000699268962,0.0002958368859253824,1000
cube,2,False,0.00010897091184197028,0.0002557150146458298,1200
cube,3,False,0.00010342600624380857,0.00023065571440383792,1400
cube,5,False,9.56539299693842e-05,0.0002008697047131136,1800
cube,8,False,8.549313039905983e-05,0.004749339073896408,2400
cube,15,False,6.661223861304971e-05,0.006524382159113884,3800
cube,24,False,3.2770266759858865e-05,0.007841280661523342,5600
cylinder,1,False,0.00018363185904034642,0.0005461092805489898,1000
cylinder,2,False,0.0001762710671544586,0.00042428882443346083,1200
cylinder,3,False,0.0001738689763458212,0.00027469394262880087,1400
cylinder,5,False,0.00014880964775415104,0.010724449530243874,1800
cylinder,8,False,0.0001642105464537367,0.013791721314191818,2400
cylinder,15,False,0.00018563732257320217,0.01588701456785202,3800
cylinder,24,False,0.00018681632284256772,0.015982411801815033,5600
hemisphere,1,False,0.00016428663110198125,0.0007529571303166449,1000
hemisphere,2,False,0.0001574595612313358,0.0006051118834875524,1200
hemisphere,3,False,0.0001891402353649173,0.0005577839910984039,1400
hemisphere,5,False,0.00028237129336590043,0.0003725650312844664,1800
hemisphere,8,False,0.00036928830067252985,0.0003896658308804035,2400
hemisphere,15,False,0.00040695733990695236,0.0004456370079424232,3800
hemisphere,24,False,0.0004470178871768255,0.0004259853740222752,5600
plane,1,False,nan,nan,1000
plane,2,False,nan,nan,1200
plane,3,False,nan,nan,1400
plane,5,False,nan,nan,1800
plane,8,False,nan,nan,2400
plane,15,False,nan,nan,3800
plane,24,False,nan,nan,5600
sphere,1,False,0.0001704773399695592,0.0007441120687872171,1000
sphere,2,False,0.00016061099239501113,0.0005913226050324738,1200
sphere,3,False,0.00019918330495051457,0.0004911147989332676,1400
sphere,5,False,0.0002945526896453864,0.0002475832006894052,1800
sphere,8,False,0.0003667566747952957,0.00026969879399985075,2400
sphere,15,False,0.0004065297274955342,0.00031906215008348227,3800
sphere,24,False,0.0004420877767681355,0.0003109270764980465,5600
