scene,E_S3,E_S3_new,E_S3_dup,d_new,d_dup,E_S3_diverse,E_S3_near,d_diverse,d_near
cube,0.13710211217403412,0.1319441944360733,0.13405223190784454,0.005157917737960815,0.003049880266189575,0.1319417655467987,0.1319441944360733,0.005160346627235413,0.005157917737960815
cylinder,0.08336293697357178,0.1120593324303627,0.08399949222803116,-0.028696395456790924,-0.0006365552544593811,0.12161599844694138,0.08047084510326385,-0.0382530614733696,0.0028920918703079224
hemisphere,0.13483811914920807,0.05495598539710045,0.128590926527977,0.07988213375210762,0.006247192621231079,0.07641144096851349,0.09623462706804276,0.05842667818069458,0.038603492081165314
plane,nan,nan,nan,nan,nan,nan,nan,nan,nan
sphere,0.1340138167142868,0.047134365886449814,0.12697523832321167,0.08687945082783699,0.007038578391075134,0.06840928643941879,0.09589413553476334,0.06560453027486801,0.03811968117952347
