scene,N,subset,lambda_min_eff,logdet_eff,a_opt_eff,si_mae_A,ho_psnr
cube,3,"5,6,20",0.24902953692487634,-1209.0979611643518,1.880411945217039,0.0030044643208384514,19.438029340709406
cube,3,"10,20,24",0.08461958257606607,-2779.6705622098702,5.041011448233291,0.00503262784332037,17.392249896726156
cube,3,"11,28,31",0.04632361418011272,-3661.6362398547135,9.067571395860671,0.018828025087714195,15.561940035775589
cube,3,"12,13,30",0.2399015570995765,-1083.9156786692392,1.8607645906978827,0.003032639855518937,20.345157029253276
cube,3,"5,9,27",0.24883490147622292,-1117.5713261339042,1.8357815599403937,0.0030054054223001003,19.533152712324274
cube,3,"7,28,31",0.021630759605008463,-4923.266656510457,19.329361652580765,0.03100636415183544,14.370506489323683
cube,3,"8,13,29",0.5643851002622593,285.89560246127087,0.8710816556147651,0.004554261919111013,22.859971899087906
cube,3,"5,25,30",0.24902953692487634,-980.0610510358379,1.7849069937404525,0.0030057935509830713,19.686710298020273
cube,3,"9,11,22",0.02469285457510426,-4859.793151989413,17.033849789612074,0.019432397559285164,14.374661235709652
cube,3,"13,14,22",0.2399015570995765,-1126.0930533180508,1.8758061598735722,0.003031063824892044,20.262869287377278
cube,3,"10,27,29",0.10477260764680084,-2353.263830223875,4.069372595275285,0.004527736455202103,18.422287221316623
cube,3,"4,19,26",0.05141017135332938,-2973.400435263556,5.587753800937718,0.005012317560613155,17.578211034721143
cube,3,"14,16,25",0.1072605254937418,-2394.142877515602,4.00827194132949,0.003158719278872013,18.359851072479824
cube,3,"4,22,31",0.02109996217752043,-5010.824042562104,19.819392531628417,0.029129553586244583,14.346381571093485
cube,3,"20,22,26",0.0742499045346476,-2908.4457094252134,5.703147800465023,0.004979291930794716,17.682727723366717
cube,3,"11,15,27",0.024991512969894505,-4736.829794396904,16.394452773393017,0.02498060278594494,14.377479231067907
cube,3,"11,25,31",0.04599695703667119,-3692.5376342428835,9.141971630995034,0.018423207104206085,15.554131870001049
cube,3,"7,12,21",0.13301193922674767,-2069.4078889063057,3.139202606902186,0.00307085202075541,19.205069160174723
cube,3,"0,17,19",0.44157513692681744,-215.8091547607737,1.1188071337336687,0.002998499432578683,23.38188325384294
cube,3,"2,10,18",0.019062826192745814,-2029.848018876215,3.025041400365866,0.0041833240538835526,19.04425645032636
cube,5,"5,22,25,28,31",0.27066029652988477,-620.0803051344237,1.5992943159412876,0.003093698527663946,18.309841923909655
cube,5,"9,10,11,18,30",0.16684014426903598,-1539.8447223109088,2.580184054906138,0.002996671712026,17.86596617996465
cube,5,"3,11,13,18,23",0.4724160007658396,112.66847920518568,0.9783914431280621,0.0028107096441090107,20.57212183624361
cube,5,"2,3,8,20,26",0.4264286798412475,59.968679804874625,0.9990598548523894,0.0028721841517835855,20.343300622339232
cube,5,"1,5,15,17,23",0.16466363860582986,-874.4020952456833,1.6934786114410678,0.003103976370766759,17.823508704038858
cube,5,"4,9,15,18,30",0.08777810942366576,-2590.223001021037,4.828203779783047,0.0031832472886890173,16.186473296289698
cube,5,"15,16,27,29,30",0.15786809315432318,-1479.7546127493365,2.692053110672235,0.0030893629882484674,18.127317798660656
cube,5,"5,10,18,25,26",0.4654267311534557,163.66211823044836,0.9738584920659179,0.002810900332406163,20.764502996357702
cube,5,"2,9,16,20,30",0.1168716627392952,-2118.3558870798815,3.651916072505117,0.003143543377518654,16.61818516148084
cube,5,"2,19,22,27,29",0.0614014745296215,-3071.5690050629596,6.844352287573919,0.005500207655131817,15.361987429598488
cube,5,"1,9,12,25,26",0.0742499045346476,-2864.7116873192676,5.688277892199699,0.0032802331261336803,16.01633625815147
cube,5,"5,14,23,28,29",0.010508632257054264,-442.7798928938777,1.5427345688571288,0.0030027672182768583,19.023579601841597
cube,5,"5,15,25,28,31",0.2719207475421423,-636.3558451583062,1.5956913512279944,0.003086777636781335,18.27460770174992
cube,5,"6,7,13,15,19",0.2436052287475782,-1018.6619097718117,1.8216823720085076,0.003131115809082985,18.06398377034007
cube,5,"1,2,14,16,31",0.13817576520086214,-1893.0366859286012,3.108794851504712,0.0031195860356092453,17.082121207775714
cube,5,"5,12,17,27,29",0.2983766535732002,-539.0937998525346,1.470346704127854,0.003029749495908618,18.936248693914344
cube,5,"6,20,22,29,30",0.04954175209697729,-3384.401873551127,8.472352810715773,0.005884431302547455,15.322146334101694
cube,5,"3,16,19,25,29",0.2674556829339849,-702.5360737806567,1.6273479091176748,0.002903766231611371,19.268672984621794
cube,5,"7,8,17,25,31",0.29624589352727243,-559.0706023333821,1.4817682612941188,0.0030887636821717024,18.63620707493049
cube,5,"6,10,16,21,25",0.09750727987577443,-570.8855369521161,1.4720598248271086,0.0028848692309111357,19.98805398880801
cube,8,"2,4,7,13,22,26,30,31",0.3448625610572979,-143.59894234168462,1.25500014632401,0.00309965293854475,18.12726629125008
cube,8,"2,3,7,21,24,26,28,29",0.21803913213157208,157.6456720501842,1.0623137805863354,0.0029222897719591856,19.146574122634465
cube,8,"5,7,10,23,26,27,28,30",0.3917265598409715,110.16614896578923,1.1051805917283317,0.003035109955817461,18.330306972445886
cube,8,"0,2,6,8,16,23,26,31",0.939388982780471,1430.517295849606,0.5001966414221823,0.0028885093051940203,23.481829127693334
cube,8,"0,10,14,16,17,18,19,28",0.5410986547889686,942.8864800266053,0.6584789145709471,0.0029390770941972733,23.219863123368647
cube,8,"0,3,4,6,8,9,14,23",0.744543017395441,1064.7210878881444,0.5903878166161973,0.002962567610666156,23.14840029917805
cube,8,"9,10,14,15,17,18,20,23",0.1562973463943717,-1474.4483837151522,2.717121104822142,0.003129851771518588,16.188027025817505
cube,8,"8,10,11,16,19,21,27,30",0.5117251169313054,776.2924264094715,0.7372667753572628,0.0028975876048207283,20.011741083943917
cube,8,"3,4,6,7,10,11,16,25",0.29538491549079815,-573.382838137444,1.4883086938557737,0.0029942237306386232,17.55686259914291
cube,8,"5,6,7,10,12,18,27,31",0.4122862936317216,86.07507790229238,1.0666649209109378,0.003005742793902755,18.41810740970044
cube,8,"7,8,13,18,21,25,27,30",0.7360354415248482,1128.6735300169062,0.6073116076421663,0.002910970477387309,20.750510324840995
cube,8,"0,5,7,9,13,17,23,24",0.9701467075812976,1429.136760035848,0.49506251716561944,0.002915345598012209,23.42571410658374
cube,8,"2,11,16,19,23,24,29,30",0.23563318731289257,-719.5866842823579,1.8076669460815027,0.0030366817954927683,17.29751371460314
cube,8,"3,4,15,16,18,19,24,25",0.3348861318382625,-226.03037093661982,1.2955351517038909,0.0029867906123399734,18.25345368617598
cube,8,"6,10,12,14,23,26,28,30",0.14289165836474857,-1553.0681008128495,2.957687344449574,0.0031265863217413425,16.1510071155706
cube,8,"6,11,12,14,18,24,29,30",0.19015049694512545,-1099.3004192486699,2.233961531073932,0.0030871753115206957,16.97950939415269
cube,8,"2,3,6,9,12,27,28,29",0.16749509574484045,-1371.7651562436058,2.5414101905452045,0.003143705427646637,16.09154129576182
