scene,N,subset_str,I_O,I_A,diff,abs_diff,status_O,status_A,d_extra_null_O,d_extra_null_A,n_at_cutoff_O,n_at_cutoff_A
conf_sphere_r05,3,"0,4,12",-5.8805713339663095,-5.879533817835903,-0.0010375161304061464,0.0010375161304061464,full,full,0,0,0,0
conf_sphere_r05,3,"0,6,14",-5.897442645584472,-5.896303373089111,-0.0011392724953607214,0.0011392724953607214,full,full,0,0,1,1
conf_sphere_r05,3,"0,8,14",-5.926498945967833,-5.925417411935472,-0.001081534032361553,0.001081534032361553,full,full,0,0,0,0
conf_sphere_r05,3,"0,12,14",-5.845145848495768,-5.844144898560783,-0.001000949934985229,0.001000949934985229,full,full,0,0,0,0
conf_sphere_r05,3,"0,14,19",-5.91840869512336,-5.917402360067375,-0.0010063350559850193,0.0010063350559850193,full,full,0,0,1,1
conf_sphere_r05,3,"1,2,12",-7.081611675438083,-7.080559823861818,-0.0010518515762649727,0.0010518515762649727,full,full,0,0,6,6
conf_sphere_r05,3,"1,2,14",-6.588705577915987,-6.587331213200934,-0.0013743647150530336,0.0013743647150530336,deficient,deficient,1,1,3,3
conf_sphere_r05,5,"4,7,12,14,17",-7.508984004672982,-7.507769144279147,-0.0012148603938344493,0.0012148603938344493,full,full,0,0,3,3
conf_sphere_r05,5,"1,12,16,25,30",-6.354876162183743,-6.353722069901663,-0.0011540922820794108,0.0011540922820794108,full,full,0,0,0,0
conf_sphere_r05,5,"1,12,19,25,30",-7.449565591261313,-7.4482050668492406,-0.0013605244120720172,0.0013605244120720172,full,full,0,0,11,11
conf_sphere_r05,5,"14,16,22,24,29",-6.463137323474796,-6.462091227946466,-0.0010460955283297935,0.0010460955283297935,full,full,0,0,2,2
conf_sphere_r05,5,"9,14,19,20,25",-7.210075550401391,-7.208838267253051,-0.0012372831483400404,0.0012372831483400404,full,full,0,0,3,3
conf_sphere_r05,5,"6,9,11,12,22",-7.049629132158888,-7.04795209155908,-0.0016770405998078886,0.0016770405998078886,full,full,0,0,4,4
