23:06:41 [ok] phys=3.00GB pf=7.42GB temp=77°C
23:06:44 [ok] phys=3.02GB pf=7.41GB temp=77°C
23:06:47 [ok] phys=3.05GB pf=7.42GB temp=77°C
23:06:50 [ok] phys=3.08GB pf=7.42GB temp=79°C
23:06:53 [ok] phys=3.09GB pf=7.41GB temp=77°C
23:06:56 [ok] phys=2.80GB pf=7.11GB temp=77°C
23:06:59 [ok] phys=2.81GB pf=7.14GB temp=77°C
23:07:02 [ok] phys=2.84GB pf=7.17GB temp=82°C
23:07:05 [ok] phys=2.85GB pf=7.19GB temp=77°C
23:07:09 [ok] phys=2.88GB pf=7.21GB temp=77°C
23:07:12 [ok] phys=2.87GB pf=7.20GB temp=76°C
23:07:15 [ok] phys=2.88GB pf=7.20GB temp=78°C
23:07:18 [ok] phys=2.89GB pf=7.19GB temp=77°C
23:07:21 [ok] phys=2.89GB pf=7.20GB temp=76°C
23:07:24 [ok] phys=2.88GB pf=7.19GB temp=76°C
23:07:27 [ok] phys=2.89GB pf=7.19GB temp=77°C
23:07:30 [ok] phys=2.91GB pf=7.19GB temp=77°C
23:07:33 [ok] phys=2.92GB pf=7.21GB temp=76°C
23:07:36 [ok] phys=2.92GB pf=7.20GB temp=76°C
23:07:39 [ok] phys=2.93GB pf=7.20GB temp=77°C
23:07:42 [ok] phys=2.94GB pf=7.20GB temp=76°C
23:07:45 [ok] phys=2.93GB pf=7.19GB temp=76°C
23:07:48 [ok] phys=2.92GB pf=7.19GB temp=77°C
23:07:51 [ok] phys=2.93GB pf=7.20GB temp=76°C
23:07:54 [ok] phys=2.93GB pf=7.20GB temp=76°C
23:07:57 [ok] phys=2.92GB pf=7.19GB temp=76°C
23:08:00 [ok] phys=2.93GB pf=7.19GB temp=77°C
23:08:03 [ok] phys=2.92GB pf=7.18GB temp=76°C
23:08:06 [ok] phys=2.92GB pf=7.18GB temp=76°C
23:08:09 [ok] phys=2.92GB pf=7.18GB temp=80°C
23:08:12 [ok] phys=2.92GB pf=7.18GB temp=77°C
23:08:15 [ok] phys=2.92GB pf=7.18GB temp=76°C
23:08:19 [ok] phys=2.91GB pf=7.18GB temp=76°C
23:08:22 [ok] phys=2.90GB pf=7.17GB temp=77°C
23:08:25 [ok] phys=2.90GB pf=7.17GB temp=76°C
23:08:28 [ok] phys=2.92GB pf=7.20GB temp=76°C
23:08:31 [ok] phys=2.92GB pf=7.20GB temp=76°C
23:08:34 [ok] phys=2.96GB pf=7.20GB temp=77°C
23:08:37 [ok] phys=2.92GB pf=7.13GB temp=76°C
23:08:40 [ok] phys=2.94GB pf=7.16GB temp=76°C
23:08:43 [ok] phys=2.95GB pf=7.19GB temp=76°C
23:08:46 [ok] phys=2.92GB pf=7.17GB temp=78°C
23:08:49 [ok] phys=2.96GB pf=7.20GB temp=76°C
23:08:52 [ok] phys=2.97GB pf=7.23GB temp=76°C
23:08:55 [ok] phys=3.02GB pf=7.28GB temp=78°C
23:08:58 [ok] phys=3.05GB pf=7.31GB temp=77°C
23:09:01 [ok] phys=3.05GB pf=7.31GB temp=77°C
23:09:04 [ok] phys=3.04GB pf=7.31GB temp=76°C
23:09:07 [ok] phys=3.04GB pf=7.29GB temp=78°C
23:09:10 [ok] phys=3.04GB pf=7.29GB temp=77°C
23:09:13 [ok] phys=3.05GB pf=7.30GB temp=77°C
23:09:17 [ok] phys=3.06GB pf=7.31GB temp=77°C
23:09:20 [ok] phys=3.07GB pf=7.32GB temp=78°C
23:09:23 [ok] phys=3.07GB pf=7.32GB temp=77°C
23:09:26 [ok] phys=3.05GB pf=7.29GB temp=76°C
23:09:29 [ok] phys=3.04GB pf=7.28GB temp=79°C
23:09:32 [ok] phys=3.05GB pf=7.29GB temp=77°C
23:09:35 [ok] phys=3.05GB pf=7.29GB temp=77°C
23:09:38 [ok] phys=3.03GB pf=7.28GB temp=77°C
23:09:41 [ok] phys=3.04GB pf=7.28GB temp=79°C
23:09:44 [ok] phys=3.04GB pf=7.28GB temp=77°C
23:09:47 [ok] phys=3.04GB pf=7.28GB temp=77°C
23:09:50 [ok] phys=3.03GB pf=7.27GB temp=77°C
23:09:53 [ok] phys=3.03GB pf=7.27GB temp=79°C
23:09:56 [ok] phys=3.03GB pf=7.27GB temp=77°C
23:09:59 [ok] phys=3.02GB pf=7.26GB temp=77°C
23:10:02 [ok] phys=3.01GB pf=7.26GB temp=78°C
23:10:05 [ok] phys=3.04GB pf=7.29GB temp=77°C
23:10:08 [ok] phys=3.05GB pf=7.29GB temp=77°C
23:10:11 [ok] phys=3.04GB pf=7.28GB temp=77°C
23:10:14 [ok] phys=3.05GB pf=7.30GB temp=78°C
23:10:17 [ok] phys=3.07GB pf=7.31GB temp=77°C
23:10:21 [ok] phys=3.07GB pf=7.31GB temp=77°C
23:10:24 [ok] phys=3.06GB pf=7.30GB temp=77°C
23:10:27 [ok] phys=3.05GB pf=7.30GB temp=78°C
23:10:30 [ok] phys=3.07GB pf=7.32GB temp=77°C
23:10:33 [ok] phys=3.07GB pf=7.32GB temp=77°C
23:10:36 [ok] phys=3.06GB pf=7.31GB temp=80°C
23:10:39 [ok] phys=3.06GB pf=7.31GB temp=77°C
23:10:42 [ok] phys=3.06GB pf=7.30GB temp=77°C
23:10:45 [ok] phys=3.04GB pf=7.28GB temp=77°C
23:10:48 [ok] phys=3.04GB pf=7.28GB temp=80°C
