scene,mean_deg,median_deg,p90_deg,p99_deg,valid_frac
cube,76.49884811279061,82.8192321825318,82.81941064165541,94.65165419585611,0.8182373046875
cylinder,71.8653702542963,75.05686868495118,82.3832525514774,83.18155340107381,0.45794677734375
hemisphere,80.48852773234222,72.74285243368969,124.85741797102081,158.18851588966484,0.3753662109375
plane,0.0,0.0,0.0,0.0,0.0
sphere,80.44850385492941,71.47231371191893,123.62031984859914,157.87834708859876,0.3770751953125
