scene,light,err_vs_world_deg,err_vs_camframe_deg,implied_z,i_eff_proj
00f7c6d95b7d4c359681cc3b93f8a077,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
00f7c6d95b7d4c359681cc3b93f8a077,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
00f7c6d95b7d4c359681cc3b93f8a077,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
00f7c6d95b7d4c359681cc3b93f8a077,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
00f7c6d95b7d4c359681cc3b93f8a077,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
00ff6c772dce4e84bf66544ada6093a0,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
00ff6c772dce4e84bf66544ada6093a0,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
00ff6c772dce4e84bf66544ada6093a0,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
00ff6c772dce4e84bf66544ada6093a0,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
00ff6c772dce4e84bf66544ada6093a0,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
0104f4b9bd3c476d949785e03f2ff7c6,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
0104f4b9bd3c476d949785e03f2ff7c6,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
0104f4b9bd3c476d949785e03f2ff7c6,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
0104f4b9bd3c476d949785e03f2ff7c6,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
0104f4b9bd3c476d949785e03f2ff7c6,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
0109cde49c664b408e6a95a82d235070,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
0109cde49c664b408e6a95a82d235070,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
0109cde49c664b408e6a95a82d235070,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
0109cde49c664b408e6a95a82d235070,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
0109cde49c664b408e6a95a82d235070,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
01f2d9c189f5404c97f696d022b0ad81,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
01f2d9c189f5404c97f696d022b0ad81,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
01f2d9c189f5404c97f696d022b0ad81,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
01f2d9c189f5404c97f696d022b0ad81,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
01f2d9c189f5404c97f696d022b0ad81,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
024bfdbc8f1c4a75bdbaaecb905e04e8,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
024bfdbc8f1c4a75bdbaaecb905e04e8,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
024bfdbc8f1c4a75bdbaaecb905e04e8,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
024bfdbc8f1c4a75bdbaaecb905e04e8,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
024bfdbc8f1c4a75bdbaaecb905e04e8,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
027e8e8787bf40689bdd8e795636a106,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
027e8e8787bf40689bdd8e795636a106,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
027e8e8787bf40689bdd8e795636a106,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
027e8e8787bf40689bdd8e795636a106,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
027e8e8787bf40689bdd8e795636a106,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
02c1619333c74000886bee7b9667e1d6,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
02c1619333c74000886bee7b9667e1d6,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
02c1619333c74000886bee7b9667e1d6,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
02c1619333c74000886bee7b9667e1d6,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
02c1619333c74000886bee7b9667e1d6,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
02fc000a981e416386d8cc51c858de5b,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
02fc000a981e416386d8cc51c858de5b,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
02fc000a981e416386d8cc51c858de5b,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
02fc000a981e416386d8cc51c858de5b,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
02fc000a981e416386d8cc51c858de5b,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
03ba54375bcb45d1a92a5dcb9e8e3a59,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
03ba54375bcb45d1a92a5dcb9e8e3a59,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
03ba54375bcb45d1a92a5dcb9e8e3a59,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
03ba54375bcb45d1a92a5dcb9e8e3a59,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
03ba54375bcb45d1a92a5dcb9e8e3a59,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
0437089225fb4b8496c6c4a824d370e6,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
0437089225fb4b8496c6c4a824d370e6,2,0.9163854482767981,27.355823269486258,0.7762267360109649,0.8901658800093831
0437089225fb4b8496c6c4a824d370e6,3,0.9163854482771959,84.42073472177447,0.7762267360109648,0.8901658914530702
0437089225fb4b8496c6c4a824d370e6,4,0.9163854482767981,101.63960542149034,0.7762267360109649,0.8901658914530702
0437089225fb4b8496c6c4a824d370e6,5,0.9163854482767981,91.51804433620563,0.7762267360109648,0.8901658800093832
048002dcad254cf8b57d51d84ad84435,1,0.9163854482771959,43.16266503518165,0.7762267360109648,0.890165912643598
