scene,light,mae_lin,mse_lin,psnr_lin,res_mean_lin,res_std_lin,mae_train_target,psnr_train_target,mae_train_domain,psnr_train_domain,mae_point_direct,psnr_point_direct
00f7c6d95b7d4c359681cc3b93f8a077,1,0.08541829138994217,0.012023757211863995,19.199598017668144,-0.0757886990904808,0.07924537360668182,0.5393339395523071,5.007625301193437,0.42142388224601746,6.822798117985714,0.0738325928664104,20.321546493955136
00f7c6d95b7d4c359681cc3b93f8a077,2,0.08577053248882294,0.01210224162787199,19.171341803902127,-0.07619529962539673,0.07935058325529099,0.5397403836250305,5.001002503683713,0.4239097535610199,6.770260592798913,0.07493465429052149,21.120408366904392
00f7c6d95b7d4c359681cc3b93f8a077,3,0.08553752303123474,0.012054990977048874,19.18833110348274,-0.07599291205406189,0.0792468786239624,0.5395327210426331,5.004690194722069,0.422236829996109,6.807012398802029,0.07913499251362908,19.7205080357576
00f7c6d95b7d4c359681cc3b93f8a077,4,0.08363555371761322,0.011688688769936562,19.32234204999041,-0.07403318583965302,0.07878944277763367,0.5375952124595642,5.035357922135331,0.3913399577140808,7.530818044661237,0.09913504787583872,17.99326945898673
00f7c6d95b7d4c359681cc3b93f8a077,5,0.07917026430368423,0.010839300230145454,19.64998754328637,-0.0681377425789833,0.0787181556224823,0.5318017601966858,5.123417974362692,0.36552464962005615,8.102459395593295,0.1013598701454417,17.86426033837178
00ff6c772dce4e84bf66544ada6093a0,1,0.3393859565258026,0.14751161634922028,8.311737782097458,-0.33038952946662903,0.1958427131175995,0.720535397529602,2.6524199461538442,0.6119468808174133,3.491777874077691,0.22728483944750333,11.490063663115933
00ff6c772dce4e84bf66544ada6093a0,2,0.34239256381988525,0.14934803545475006,8.258004857935186,-0.33252137899398804,0.1969202160835266,0.7226741909980774,2.625308038250405,0.617591917514801,3.423285981074212,0.2486609532746379,10.471012478580459
00ff6c772dce4e84bf66544ada6093a0,3,0.34258419275283813,0.14950713515281677,8.253380803592748,-0.3336421251296997,0.19542273879051208,0.7237902283668518,2.6189859882348534,0.6175756454467773,3.430507581887273,0.2035581200031162,12.059865749513508
00ff6c772dce4e84bf66544ada6093a0,4,0.3229403495788574,0.13476526737213135,8.704220227284335,-0.3145678639411926,0.18924149870872498,0.7047216296195984,2.867051564535136,0.5025090575218201,5.322935561577703,0.40276542781263236,7.1431069116480845
00ff6c772dce4e84bf66544ada6093a0,5,0.2564297318458557,0.0912255123257637,10.39883688943009,-0.23800203204154968,0.18595843017101288,0.6281513571739197,3.869862647557438,0.3818153738975525,7.413760931926942,0.4128122558687472,6.901281880669678
0104f4b9bd3c476d949785e03f2ff7c6,1,0.07972852885723114,0.010220670141279697,19.905206277709382,-0.07972852885723114,0.062161337584257126,0.5340635180473328,5.132591021764447,0.5286244750022888,5.215673852520841,0.07971271881448047,19.906368603039382
0104f4b9bd3c476d949785e03f2ff7c6,2,0.0797276571393013,0.010220463387668133,19.905294131890752,-0.0797276571393013,0.06216079741716385,0.534062922000885,5.132611698912422,0.5286850929260254,5.214970213489833,0.07963997889030693,19.91142477397777
0104f4b9bd3c476d949785e03f2ff7c6,3,0.07972869277000427,0.010220552794635296,19.905256140675306,-0.07972869277000427,0.0621601864695549,0.5340633988380432,5.132599883387238,0.5287461280822754,5.214140702407745,0.07970749458696078,19.90650665760294
0104f4b9bd3c476d949785e03f2ff7c6,4,0.07972739636898041,0.010220417752861977,19.90531352336841,-0.07972739636898041,0.06216076761484146,0.5340629816055298,5.132601571317439,0.5279668569564819,5.225530321384888,0.07976802759611216,19.90234180813006
0104f4b9bd3c476d949785e03f2ff7c6,5,0.07971898466348648,0.0102192098274827,19.905826835389696,-0.07971898466348648,0.06216182932257652,0.5340555906295776,5.1327180400856465,0.5271803140640259,5.236819352985251,0.07976989466950331,19.902228226575144
0109cde49c664b408e6a95a82d235070,1,0.176351398229599,0.04415401443839073,13.550298046757138,-0.11099939793348312,0.17841847240924835,0.5728461742401123,4.471546868879897,0.39923956990242004,6.986619023685876,0.16887890603002578,13.820105019995903
0109cde49c664b408e6a95a82d235070,2,0.1765321046113968,0.04434096813201904,13.531948288173012,-0.11157393455505371,0.17858394980430603,0.5735222101211548,4.462819972395928,0.40024080872535706,6.968846880341138,0.29691576634643313,7.222130482142468
0109cde49c664b408e6a95a82d235070,3,0.17458048462867737,0.043804652988910675,13.584797557041162,-0.11458335816860199,0.17514367401599884,0.5760109424591064,4.435894215067849,0.40276941657066345,6.9437331189730305,0.1957891454964822,12.995092519797282
0109cde49c664b408e6a95a82d235070,4,0.16865336894989014,0.04106324538588524,13.865467296492337,-0.10936474800109863,0.17059484124183655,0.5707849264144897,4.524543503481078,0.36571377515792847,8.010947535789198,0.24125850533858473,10.703581617395983
0109cde49c664b408e6a95a82d235070,5,0.1619739830493927,0.037018753588199615,14.315782079191454,-0.0883421003818512,0.17092227935791016,0.5510320067405701,4.815566074686491,0.3340657353401184,8.81871814933136,0.2461513203440006,10.531280682044542
01f2d9c189f5404c97f696d022b0ad81,1,0.06752413511276245,0.01741294004023075,17.59127895427748,-0.06752318143844604,0.1133735403418541,0.39966294169425964,6.60987650941792,0.38417381048202515,6.893021525093015,0.06715120194743564,17.617068035715537
01f2d9c189f5404c97f696d022b0ad81,2,0.06753990054130554,0.01741681434214115,17.59031277580296,-0.06753898411989212,0.11338122189044952,0.39967870712280273,6.6095290514193925,0.3847053349018097,6.8813137572525225,0.06680950135204304,17.63510527374528
01f2d9c189f5404c97f696d022b0ad81,3,0.06755375862121582,0.017419666051864624,17.589601750012957,-0.06755290925502777,0.11338549107313156,0.3996925950050354,6.609245354198132,0.385008841753006,6.875477203397226,0.06724072436912064,17.610843626521127
01f2d9c189f5404c97f696d022b0ad81,4,0.0675194039940834,0.017410071566700935,17.591994436466308,-0.06751851737499237,0.11336366087198257,0.3996582329273224,6.6100146702371365,0.3805469274520874,6.9754066435946696,0.06771804414221526,17.583370603428577
01f2d9c189f5404c97f696d022b0ad81,5,0.06738926470279694,0.017375120893120766,17.60072164980577,-0.06738826632499695,0.11328699439764023,0.3995280861854553,6.612889174875905,0.37598392367362976,7.075669345396507,0.06780256474693401,17.577527356053466
024bfdbc8f1c4a75bdbaaecb905e04e8,1,0.06230291351675987,0.008098652586340904,20.915872308736326,-0.052690546959638596,0.07295450568199158,0.4934801161289215,5.734837623531407,0.3999677002429962,7.1971308874495845,0.04529992765990329,23.89282702967003
024bfdbc8f1c4a75bdbaaecb905e04e8,2,0.06249155104160309,0.008149631321430206,20.888620377250664,-0.05276423692703247,0.07325002551078796,0.4935634136199951,5.731484929917686,0.3998694121837616,7.188349535840272,0.06309174433004093,20.079847946748586
024bfdbc8f1c4a75bdbaaecb905e04e8,3,0.0629533976316452,0.008279472589492798,20.819973273175624,-0.05372624099254608,0.07343680411577225,0.49451911449432373,5.714709512067223,0.40345025062561035,7.123758259265466,0.047243417528940075,23.928167046479967
