scene,ang_mae,ang_median,ang_p90
00f7c6d95b7d4c359681cc3b93f8a077,0.005224496591836214,0.0,0.01978234015405178
00ff6c772dce4e84bf66544ada6093a0,0.008145592175424099,0.0,0.02797645330429077
0104f4b9bd3c476d949785e03f2ff7c6,0.00843666773289442,0.0,0.02797645330429077
0109cde49c664b408e6a95a82d235070,0.004332890268415213,0.0,0.01978234015405178
01f2d9c189f5404c97f696d022b0ad81,0.007691963575780392,0.0,0.02797645330429077
024bfdbc8f1c4a75bdbaaecb905e04e8,0.006919264327734709,0.0,0.01978234015405178
027e8e8787bf40689bdd8e795636a106,0.007293841801583767,0.0,0.02797645330429077
02c1619333c74000886bee7b9667e1d6,0.007858862169086933,0.0,0.02797645330429077
02fc000a981e416386d8cc51c858de5b,0.007702506147325039,0.0,0.02797645330429077
03ba54375bcb45d1a92a5dcb9e8e3a59,0.005211296025663614,0.0,0.01978234015405178
0437089225fb4b8496c6c4a824d370e6,0.00716208154335618,0.0,0.02797645330429077
048002dcad254cf8b57d51d84ad84435,0.005925202276557684,0.0,0.01978234015405178
04dbe2471a134bd68f5b8d8d4af95aae,0.008555969223380089,0.0,0.02797645330429077
04e43ff1195e45029a03b6cdc53f9aa8,0.008888067677617073,0.0,0.02797645330429077
04e5ee9a0baa446e9ab973cce0153bc8,0.007967343553900719,0.0,0.02797645330429077
05703932eb2c45c0918d4f91c875d064,0.005060472991317511,0.0,0.01978234015405178
060c9e87a01b4fd08f87578d63e4961e,0.008979926817119122,0.0,0.02797645330429077
062ad5b97bf34d75b7c7003b9b6f2cb0,0.004410459194332361,0.0,0.01978234015405178
069044476a7f49b9b83f6364654c85c3,0.005907025188207626,0.0,0.01978234015405178
0692e0ff0ef34b21b1f3659270d2e558,0.0051347617991268635,0.0,0.01978234015405178
06dd0877eb584e569d1bc9070e42baa2,0.007033586036413908,0.0,0.01978234015405178
07a81928f67f4aa2ad0d59a057ae374e,0.008460660465061665,0.0,0.02797645330429077
07c2642631f947a5ac799dddeea39eb9,0.007139287889003754,0.0,0.02797645330429077
086be698bca14d7791d9032884909954,0.005028331186622381,0.0,0.01978234015405178
087ca366dee64594bba4189b31dd7a45,0.0069520254619419575,0.0,0.01978234015405178
08aab5b01d384e0082c56c17fc9f2245,0.006333469413220882,0.0,0.01978234015405178
08bc3a0eec7042389949e2c5ad9bf700,0.007788912393152714,0.0,0.02797645330429077
099450527f614a3e81baf1fe4fe087ab,0.006936072837561369,0.0,0.01978234015405178
09fb340c826c402683eca48320936aec,0.008287142962217331,0.0,0.02797645330429077
0a354259149c4930bac9bab65ce89cdd,0.00758737325668335,0.0,0.01978234015405178
0a39c8c2a2df48b6a072da1d9306cf36,0.0044377087615430355,0.0,0.01978234015405178
0ae2a05bf20c4b028b86c33e26aa9e0c,0.006340997759252787,0.0,0.01978234015405178
0af17e65f26647cc99709f7d15944994,0.00809880904853344,0.0,0.02797645330429077
0b1cc5fa9d8744ddabb84d3ec55b9a97,0.008923791348934174,0.0,0.02797645330429077
0b6168841a3f46bdaa56947d469c79da,0.0076719895005226135,0.0,0.02797645330429077
0bba5774d2bd40e48a2d246fdd0b92f5,0.006436476483941078,0.0,0.01978234015405178
0c5eb9cedea94e2180187a07cb661ceb,0.005342652089893818,0.0,0.01978234015405178
0c87b9d50c7f4a2292e337ceb54ec36a,0.006463916040956974,0.0,0.01978234015405178
0cc862bb5d9f41269631ff62504cfdf9,0.007712305523455143,0.0,0.02797645330429077
0e63e1ef419b49278ddc45ec63f69979,0.006018633488565683,0.0,0.01978234015405178
0e92245b9cac4423810aece64743decd,0.007799635641276836,0.0,0.01978234015405178
0f3d54f4b2b74580a2c1891c1116dc5f,0.008295954205095768,0.0,0.02797645330429077
0f48025ff969419582312f9a02fd7af0,0.00591355049982667,0.0,0.01978234015405178
10edcd93ffa94c2a8cc0bc2e9bcf7eae,0.006611465476453304,0.0,0.01978234015405178
1175f68a974a45f5b9b6e51c08f1a432,0.00709532480686903,0.0,0.02797645330429077
11940acb7fe34046ae965ed2fc1a3359,0.004571753554046154,0.0,0.01978234015405178
1199736697cb491a899f77c0b75112dd,0.003062046831473708,0.0,0.01978234015405178
11b4c003677148478409d6a66a65eb0e,0.005699404049664736,0.0,0.01978234015405178
12aef634af8944ff86f9a967ccb1608b,0.008103076368570328,0.0,0.02797645330429077
1397ff3d60e04d9aa7b0524d022cf5cf,0.005552149843424559,0.0,0.01978234015405178
13c868d7ccfa48288730c0e6334a288c,0.006218292284756899,0.0,0.01978234015405178
13d4e5021ab84f30afd31f35c213cccb,0.006127094849944115,0.0,0.01978234015405178
1420fb72273245db90f1e90ab0bc1724,0.007416688371449709,0.0,0.02797645330429077
15db5f6f195c4995898af1b0ce431f80,0.0038495128974318504,0.0,0.01978234015405178
1603ccd8b72e49c1a7074f124b212f0e,0.006336049642413855,0.0,0.01978234015405178
16ffa17d84c8467f89403df9ad894301,0.006861536297947168,0.0,0.01978234015405178
17092add79b24457ba29f0b35d660072,0.0057637933641672134,0.0,0.01978234015405178
179832b0585c415d979f90dced97ae71,0.007095811422914267,0.0,0.01978234015405178
17bc5de2691b43cfb873091778a8de52,0.008679520338773727,0.0,0.02797645330429077
18b0f54db566476fb861c8fa187cd8d8,0.007072129286825657,0.0,0.01978234015405178
1907da7461054e5ba6885302c08c2677,0.008497420698404312,0.0,0.02797645330429077
191df4fa5f48453d81ede86ed863a3c2,0.005140131339430809,0.0,0.01978234015405178
193c0e81efc74ed0bd5834586cf3fe8f,0.0049767205491662025,0.0,0.01978234015405178
195a37929e644c3dbfbe25de252b0969,0.006938272155821323,0.0,0.02797645330429077
1ada36a1a86a4bdaaa106bee7d9ac67d,0.006784256547689438,0.0,0.01978234015405178
1b98302c1ed9406a8343b3d39d6c5095,0.00492941914126277,0.0,0.01978234015405178
1bbd90606751424ca876f2c94e183784,0.0069968984462320805,0.0,0.02797645330429077
1bc61e7f64a54ccc9f3942b874779522,0.004752419423311949,0.0,0.01978234015405178
1d29f591697e493387d51a116b895934,0.0032555211801081896,0.0,0.01978234015405178
1dbcb5f847804c75822615e161505d83,0.005849070381373167,0.0,0.01978234015405178
1e5929958e9d4fd5b0b8cdeaf2752d01,0.00594289181753993,0.0,0.01978234015405178
1ea9f54daa68475d867243576d94e9b5,0.006980596575886011,0.0,0.01978234015405178
1eeefd2d22dd4b6c8ec6fbfa1f885d01,0.005053265485912561,0.0,0.01978234015405178
1f6c403e514e4d259ecb329543003c3d,0.0056292652152478695,0.0,0.01978234015405178
1f899649bb9f4e51a031668b0a97d438,0.005503353197127581,0.0,0.01978234015405178
202304220aef4cac84572ec4a072bf68,0.007276877295225859,0.0,0.01978234015405178
210f600a968c47e4abeed9c8d25f36bd,0.005697436630725861,0.0,0.01978234015405178
21228b0cf30745efbf0842c86f34e584,0.007716046180576086,0.0,0.02797645330429077
2242ba8057ed45c998208ca71cd13b3e,0.00476573733612895,0.0,0.01978234015405178
229df31da28c4d3390d6ae1fef2867e0,0.0076026832684874535,0.0,0.02797645330429077
22a62914e48948cbb93a08364e3d650c,0.005924125202000141,0.0,0.01978234015405178
2408f7b6d1d64b9ca70b14a84dee8d84,0.008369717746973038,0.0,0.02797645330429077
24a0d4520d444db7980f3737950f2a5c,0.00486554391682148,0.0,0.01978234015405178
