probe,scene,N,g0,g1,g2,g3,g4,g_min_over_max
A,00f7c6d95b7d4c359681cc3b93f8a077,5,0.0007621540571562946,0.0007621542317792773,0.0007621541735716164,0.0007621541735716164,0.0007621539407409728,0.9999996181372582
A,00ff6c772dce4e84bf66544ada6093a0,5,0.000783997995313257,0.0007839975296519697,0.0007839978788979352,0.0007839972386136651,0.0007839974132366478,0.9999990348194812
A,0104f4b9bd3c476d949785e03f2ff7c6,5,0.0007549148285761476,0.0007549147703684866,0.0007549147121608257,0.0007549147703684866,0.0007549147121608257,0.9999998457901244
A,0109cde49c664b408e6a95a82d235070,5,0.0008120505372062325,0.0008120501297526062,0.0008120508282445371,0.0008120507118292153,0.0008120507118292153,0.9999991398421051
A,01f2d9c189f5404c97f696d022b0ad81,5,0.0007564531406387687,0.0007564531988464296,0.0007564531988464296,0.0007564531406387687,0.0007564531406387687,0.9999999230518676
A,024bfdbc8f1c4a75bdbaaecb905e04e8,5,0.0007643543067388237,0.0007643543067388237,0.0007643543067388237,0.0007643542485311627,0.0007643543067388237,0.9999999238472782
A,027e8e8787bf40689bdd8e795636a106,5,0.0008012507460080087,0.0008012501639313996,0.0008012505131773651,0.0008012500475160778,0.0008012503385543823,0.9999991282480117
A,02c1619333c74000886bee7b9667e1d6,5,0.0007916567847132683,0.0007916567847132683,0.0007916571921668947,0.000791656959336251,0.000791656959336251,0.9999994853155755
A,02fc000a981e416386d8cc51c858de5b,5,0.0007709198980592191,0.000770920014474541,0.0007709211786277592,0.0007709196070209146,0.000770920654758811,0.9999979613910108
A,03ba54375bcb45d1a92a5dcb9e8e3a59,5,0.0008391343289986253,0.0008391343872062862,0.0008391354349441826,0.0008391346782445908,0.0008391348528675735,0.9999986820416451
A,0437089225fb4b8496c6c4a824d370e6,5,0.0007508839480578899,0.0007508839480578899,0.0007508839480578899,0.0007508839480578899,0.0007508839480578899,1.0
A,048002dcad254cf8b57d51d84ad84435,5,0.0007559437653981149,0.0007559437653981149,0.0007559437653981149,0.0007559437653981149,0.0007559437653981149,1.0
A,04dbe2471a134bd68f5b8d8d4af95aae,5,0.0008159203571267426,0.000815921404864639,0.0008159206481650472,0.0008159208227880299,0.0008159205317497253,0.9999987158837969
A,04e43ff1195e45029a03b6cdc53f9aa8,5,0.0007648134487681091,0.0007648135651834309,0.00076481350697577,0.0007648134487681091,0.0007648134487681091,0.9999998477860134
A,04e5ee9a0baa446e9ab973cce0153bc8,5,0.0008008683216758072,0.0008008683216758072,0.0008008683216758072,0.0008008683216758072,0.0008008683216758072,1.0
A,05703932eb2c45c0918d4f91c875d064,5,0.0007499903440475464,0.0007499901112169027,0.0007499903440475464,0.0007499899948015809,0.0007499900530092418,0.9999995343327174
A,060c9e87a01b4fd08f87578d63e4961e,5,0.0008535299566574395,0.0008535307133570313,0.0008535308879800141,0.0008535311790183187,0.0008535308879800141,0.9999985678778828
