probe,scene,S_a,S_b,D_albedo,D_normal_deg,si_mae_a,si_mae_b
C,1420fb72273245db90f1e90ab0bc1724,"0,1,3","0,2,3",0.0,6.877201030874858e-06,0.08289346843957901,0.08289346843957901
C,15db5f6f195c4995898af1b0ce431f80,"0,1,3","1,2,3",2.0052536020553902e-10,0.0002970988571178168,0.01313590444624424,0.01313590444624424
C,1603ccd8b72e49c1a7074f124b212f0e,"0,1,4","2,3,4",0.0,0.0,0.0001474591117585078,0.0001474591117585078
C,16ffa17d84c8467f89403df9ad894301,"1,2,4","1,2,4",0.0,0.0,0.008838187903165817,0.008838187903165817
C,17092add79b24457ba29f0b35d660072,"0,2,4","0,2,3",3.594160079956055e-05,0.0,0.06798475980758667,0.06798475980758667
C,179832b0585c415d979f90dced97ae71,"0,1,3","1,3,4",0.0,0.0,0.08913879096508026,0.08913879096508026
C,17bc5de2691b43cfb873091778a8de52,"0,1,4","0,2,4",5.491077899932861e-06,0.0,0.00014618255954701453,0.00014618255954701453
C,18b0f54db566476fb861c8fa187cd8d8,"1,2,3","1,2,3",0.0,0.0,0.2154306322336197,0.2154306322336197
C,1907da7461054e5ba6885302c08c2677,"0,1,3","0,2,3",1.1365825685061282e-06,0.001300947042182088,0.080708347260952,0.08070815354585648
C,191df4fa5f48453d81ede86ed863a3c2,"0,1,4","0,2,4",0.00035185107844881713,0.00014850911975372583,0.08783154934644699,0.08783193677663803
C,193c0e81efc74ed0bd5834586cf3fe8f,"0,1,2","0,1,2",0.0,0.0,0.11544938385486603,0.11544938385486603
C,195a37929e644c3dbfbe25de252b0969,"0,1,2","1,3,4",0.0,0.0,0.18098734319210052,0.18098734319210052
C,1ada36a1a86a4bdaaa106bee7d9ac67d,"0,1,2","1,2,4",9.573549952790472e-09,2.252190279250499e-05,0.12213588505983353,0.12213588505983353
C,1b98302c1ed9406a8343b3d39d6c5095,"1,3,4","2,3,4",5.960464477539063e-08,0.0,0.00014744937652722,0.00014744933287147433
C,1bbd90606751424ca876f2c94e183784,"0,1,3","0,1,4",0.0,0.0,0.022158900275826454,0.022158900275826454
C,1bc61e7f64a54ccc9f3942b874779522,"0,1,2","1,2,3",0.0,0.0,0.11454514414072037,0.11454514414072037
C,1d29f591697e493387d51a116b895934,"1,2,3","0,1,4",0.0,0.0,0.07575385272502899,0.07575385272502899
C,1dbcb5f847804c75822615e161505d83,"0,1,2","1,3,4",0.0,0.0,0.00014709372771903872,0.00014709372771903872
C,1e5929958e9d4fd5b0b8cdeaf2752d01,"1,2,3","1,2,3",0.0,7.595946226501837e-05,0.034642159938812256,0.034642159938812256
C,1ea9f54daa68475d867243576d94e9b5,"0,2,4","0,2,4",0.0,0.00026664111646823585,0.1148524135351181,0.1148524135351181
C,1eeefd2d22dd4b6c8ec6fbfa1f885d01,"0,2,3","0,1,4",0.0,0.0013085099635645747,0.09989481419324875,0.09989481419324875
C,1f6c403e514e4d259ecb329543003c3d,"0,1,4","0,1,3",0.0,0.0,0.019367454573512077,0.019367454573512077
C,1f899649bb9f4e51a031668b0a97d438,"0,2,3","1,2,4",0.0,9.919120202539489e-05,0.0066075995564460754,0.0066075995564460754
C,202304220aef4cac84572ec4a072bf68,"1,2,3","1,2,4",0.02386944554746151,0.022300872951745987,0.01493943389505148,0.0149373235180974
C,210f600a968c47e4abeed9c8d25f36bd,"0,3,4","0,1,2",0.0,0.0,0.00014760640624444932,0.00014760640624444932
C,21228b0cf30745efbf0842c86f34e584,"2,3,4","2,3,4",0.0,0.0,0.0060104490257799625,0.0060104490257799625
C,2242ba8057ed45c998208ca71cd13b3e,"1,2,3","0,3,4",0.0,0.0,0.04078923538327217,0.04078923538327217
C,229df31da28c4d3390d6ae1fef2867e0,"1,2,4","0,1,2",0.0,0.0,0.021628715097904205,0.021628715097904205
C,22a62914e48948cbb93a08364e3d650c,"1,3,4","0,3,4",0.0007496773614548147,0.0,0.08627855032682419,0.08627855032682419
C,2408f7b6d1d64b9ca70b14a84dee8d84,"2,3,4","1,2,3",2.0563602447509766e-06,0.0,0.13083606958389282,0.13083606958389282
C,24a0d4520d444db7980f3737950f2a5c,"0,1,4","2,3,4",0.0,0.0,0.013498960062861443,0.013498960062861443
C,2570d5ef94e740e9bd85d42e6b8c59f6,"0,1,2","0,1,2",0.0,0.0,0.02625681646168232,0.02625681646168232
C,25b1735633484414aef07006a0099c26,"1,2,3","0,2,4",7.599022069371131e-07,0.0,0.026440484449267387,0.02644047699868679
C,25b74c8c02ef41f6bdb3dc2b097c6eee,"2,3,4","0,2,3",0.00032548606395721436,0.0,0.07961836457252502,0.07961836457252502
C,260151f2360c484e8c0a5034ff391021,"0,3,4","0,3,4",0.0,0.0,0.03703104332089424,0.03703104332089424
C,273a3aa035784eacb89db08c1a0710bf,"0,2,3","0,3,4",0.0,0.0,0.09899287670850754,0.09899287670850754
C,276f390b0cfc475898b445466d387cf6,"0,2,4","0,3,4",0.0,0.0,0.07496017217636108,0.07496017217636108
C,27b4f79643cb40ae8cdde5d5a9adebf1,"0,3,4","0,3,4",0.0,0.0,0.07686366885900497,0.07686366885900497
C,285fbc3ac47c47dead4bae4f21dbf966,"2,3,4","0,1,2",0.0,0.00025607788120396435,0.006791346240788698,0.006791346240788698
C,28e9c03735124472877f9f4741a74d78,"0,2,3","0,1,4",2.205371856689453e-06,0.0,0.04889838397502899,0.04889838397502899
